Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.06,2.28,5.939,8.219,1.98,1.24,1.05
0.065,2.397,5.71,8.107,2.12,1.28,1.09
0.07,2.509,5.5,8.009,2.25,1.32,1.13
0.08,2.722,5.13,7.852,2.52,1.38,1.2
0.09,2.922,4.815,7.737,2.77,1.44,1.27
0.1,3.11,4.541,7.651,3.02,1.5,1.33
0.11,3.287,4.302,7.5889999999999995,3.25,1.54,1.39
0.12,3.453,4.09,7.542999999999999,3.48,1.58,1.44
0.13,3.61,3.901,7.510999999999999,3.71,1.62,1.49
0.14,3.758,3.731,7.489,3.92,1.66,1.53
0.15,3.896,3.578,7.474,4.14,1.69,1.57
0.16,4.027,3.438,7.465,4.35,1.72,1.61
0.17,4.15,3.31,7.460000000000001,4.55,1.75,1.65
0.18,4.266,3.193,7.459,4.75,1.77,1.69
0.2,4.478,2.986,7.464,5.14,1.82,1.76
0.225,4.708,2.765,7.473000000000001,5.61,1.87,1.83
0.25,4.906,2.579,7.484999999999999,6.07,1.92,1.9
0.275,5.074,2.42,7.494,6.52,1.96,1.97
0.3,5.218,2.281,7.4990000000000006,6.95,2.0,2.03
0.325,5.34,2.159,7.499,7.38,2.03,2.08
0.35,5.444,2.051,7.495,7.81,2.07,2.14
0.375,5.532,1.955,7.487,8.22,2.1,2.19
0.4,5.607,1.868,7.4750000000000005,8.64,2.12,2.24
0.45,5.721,1.718,7.439,9.46,2.18,2.33
0.5,5.799,1.593,7.392,10.27,2.23,2.42
0.55,5.85,1.486,7.335999999999999,11.08,2.27,2.5
0.6,5.878,1.395,7.273,11.89,2.31,2.58
0.65,5.89,1.315,7.205,12.7,2.35,2.66
0.7,5.888,1.244,7.132,13.51,2.39,2.73
0.8,5.855,1.126,6.981,15.14,2.47,2.87
0.9,5.795,1.03,6.825,16.8,2.54,3.01
0.001,5.717,9.507,15.224,18.47,2.61,3.15
0.0011,5.628,8.836,14.464,20.18,2.68,3.28
0.0012,5.533,8.262,13.795000000000002,21.92,2.74,3.41
0.0013,5.435,7.765,13.2,23.7,2.81,3.54
0.0014,5.335,7.329,12.664,25.51,2.87,3.67
0.0015,5.236,6.943,12.178999999999998,27.36,2.94,3.8
0.0016,5.138,6.6,11.738,29.24,3.0,3.93
0.0017,5.042,6.292,11.334,31.16,3.07,4.07
0.0018,4.948,6.013,10.961,33.12,3.13,4.2
0.002,4.768,5.53,10.298,37.16,3.29,4.47
0.00225,4.558,5.033,9.591000000000001,42.43,3.5,4.82
0.0025,4.366,4.625,8.991,47.94,3.71,5.18
0.00275,4.189,4.282,8.471,53.69,3.93,5.54
0.003,4.027,3.99,8.017,59.69,4.16,5.92
0.00325,3.879,3.739,7.618,65.92,4.39,6.31
0.0035,3.742,3.519,7.261,72.4,4.62,6.72
0.00375,3.616,3.326,6.942,79.1,4.86,7.13
0.004,3.499,3.154,6.6530000000000005,86.04,5.1,7.56
0.0045,3.291,2.862,6.1530000000000005,100.6,5.79,8.44
0.005,3.109,2.623,5.732,116.06,6.48,9.37
0.0055,2.95,2.424,5.3740000000000006,132.39,7.17,10.34
0.006,2.809,2.254,5.063000000000001,149.58,7.88,11.36
0.0065,2.683,2.109,4.792,167.61,8.59,12.42
0.007,2.57,1.982,4.552,186.46,9.32,13.52
0.008,2.376,1.771,4.147,226.56,11.51,15.83
0.009,2.239,1.604,3.843,269.54,13.63,18.29
0.01,2.106,1.467,3.573,315.2,15.71,20.86
