Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop
0.001,14.45,5.853,20.3
0.0015,17.87,6.398,24.27
0.002,20.78,6.736,27.52
0.0025,23.37,6.961,30.33
0.003,25.71,7.114,32.82
0.004,29.9,7.291,37.19
0.005,33.61,7.366,40.98
0.006,36.99,7.385,44.37
0.007,40.1,7.368,47.47
0.008,43.01,7.33,50.34
0.009,45.75,7.279,53.03
0.01,48.35,7.218,55.57
0.0125,54.36,7.045,61.4
0.015,59.81,6.861,66.67
0.0175,64.84,6.679,71.52
0.02,69.54,6.502,76.05
0.0225,73.97,6.333,80.31
0.025,78.17,6.173,84.34
0.0275,82.17,6.021,88.19
0.03,86.0,5.877,91.88
0.035,93.22,5.612,98.83
0.04,99.96,5.373,105.3
0.045,106.3,5.157,111.5
0.05,112.3,4.961,117.3
0.055,118.0,4.782,122.8
0.06,123.5,4.618,128.1
0.065,128.7,4.467,133.2
0.07,133.8,4.327,138.1
0.075,138.7,4.198,142.9
0.08,143.4,4.077,147.5
0.085,147.9,3.964,151.9
0.09,152.4,3.858,156.2
0.095,156.7,3.759,160.4
0.1,160.8,3.666,164.5
0.125,180.3,3.27,183.5
0.15,197.6,2.963,200.6
0.175,213.3,2.715,216.0
0.2,227.7,2.51,230.2
0.225,240.9,2.338,243.2
0.25,253.0,2.191,255.2
0.275,264.3,2.063,266.3
0.3,274.7,1.951,276.6
0.35,293.2,1.764,295.0
0.4,309.0,1.613,310.6
0.45,322.4,1.489,323.9
0.5,333.7,1.384,335.1
0.55,343.1,1.295,344.4
0.6,350.7,1.217,351.9
0.65,356.8,1.149,358.0
0.7,361.6,1.09,362.6
0.75,365.1,1.036,366.1
0.8,367.6,0.9883,368.5
0.85,369.1,0.9451,370.0
0.9,369.8,0.9058,370.7
0.95,369.9,0.87,370.8
1.0,369.3,0.8372,370.2
1.25,364.7,0.707,365.4
1.5,357.0,0.6144,357.7
1.75,347.3,0.5449,347.9
2.0,336.6,0.4906,337.1
2.25,325.5,0.4469,325.9
2.5,314.4,0.4108,314.8
2.75,303.6,0.3806,304.0
3.0,293.2,0.3549,293.6
3.5,274.3,0.3132,274.6
4.0,258.5,0.2809,258.8
4.5,245.1,0.255,245.3
5.0,233.4,0.2338,233.6
5.5,223.1,0.2161,223.3
6.0,214.0,0.201,214.2
6.5,205.8,0.1881,206.0
7.0,198.4,0.1768,198.6
7.5,191.6,0.1669,191.8
8.0,185.4,0.1581,185.6
8.5,179.7,0.1502,179.8
9.0,174.4,0.1432,174.5
9.5,169.5,0.1368,169.6
10.0,164.9,0.131,165.1
12.5,146.0,0.1084,146.1
15.0,131.7,0.09279,131.8
17.5,120.4,0.08131,120.5
20.0,111.3,0.07249,111.3
25.0,97.13,0.05979,97.19
27.5,91.53,0.05505,91.59
30.0,86.65,0.05104,86.7
35.0,78.53,0.04463,78.58
40.0,72.01,0.03972,72.05
45.0,66.63,0.03583,66.67
50.0,62.11,0.03267,62.15
55.0,58.26,0.03004,58.29
60.0,54.92,0.02782,54.95
65.0,51.99,0.02593,52.02
70.0,49.41,0.02429,49.44
75.0,47.11,0.02285,47.14
80.0,45.05,0.02158,45.07
85.0,43.18,0.02045,43.2
90.0,41.49,0.01944,41.51
95.0,39.95,0.01853,39.96
100.0,38.53,0.0177,38.55
125.0,32.88,0.01451,32.89
150.0,28.86,0.01232,28.87
175.0,25.83,0.01073,25.84
200.0,23.47,0.009513,23.48
225.0,21.57,0.008554,21.58
250.0,20.01,0.007777,20.02
275.0,18.7,0.007133,18.71
300.0,17.59,0.006591,17.59
350.0,15.79,0.005727,15.79
400.0,14.4,0.005068,14.4
450.0,13.29,0.004549,13.29
500.0,12.38,0.004129,12.39
550.0,11.63,0.003782,11.63
600.0,10.99,0.00349,10.99
650.0,10.44,0.003241,10.45
700.0,9.97,0.003025,9.973
750.0,9.555,0.002837,9.558
800.0,9.189,0.002671,9.192
850.0,8.864,0.002524,8.866
900.0,8.573,0.002392,8.575
950.0,8.311,0.002274,8.313
1000.0,8.075,0.002167,8.077
