Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.03,8.51,5.897,14.407,1.29,1.35,1.04
0.0325,8.878,5.752,14.629999999999999,1.4,1.42,1.1
0.035,9.233,5.616,14.849,1.5,1.48,1.16
0.0375,9.575,5.486,15.061,1.61,1.55,1.21
0.04,9.907,5.363,15.27,1.72,1.61,1.26
0.045,1.054,5.134,6.188000000000001,1.93,1.72,1.36
0.05,1.114,4.928,6.042,2.14,1.83,1.46
0.055,1.172,4.739,5.911,2.35,1.93,1.55
0.06,1.226,4.567,5.793,2.56,2.03,1.64
0.065,1.279,4.409,5.688,2.77,2.12,1.73
0.07,1.329,4.263,5.592,2.98,2.2,1.81
0.08,1.425,4.003,5.428,3.38,2.36,1.97
0.09,1.515,3.778,5.293,3.78,2.51,2.11
0.1,1.599,3.581,5.18,4.18,2.64,2.25
0.11,1.679,3.406,5.085,4.57,2.76,2.37
0.12,1.755,3.251,5.006,4.95,2.87,2.49
0.13,1.828,3.111,4.939,5.32,2.98,2.61
0.14,1.897,2.985,4.882,5.69,3.08,2.72
0.15,1.964,2.87,4.834,6.06,3.17,2.82
0.16,2.027,2.764,4.791,6.41,3.25,2.92
0.17,2.088,2.668,4.756,6.77,3.34,3.01
0.18,2.147,2.579,4.726,7.12,3.41,3.1
0.2,2.259,2.42,4.679,7.8,3.55,3.28
0.225,2.387,2.251,4.638,8.63,3.71,3.48
0.25,2.505,2.106,4.611,9.44,3.86,3.66
0.275,2.613,1.982,4.595,10.23,3.98,3.83
0.3,2.713,1.873,4.586,11.0,4.1,3.99
0.325,2.805,1.777,4.582,11.76,4.21,4.14
0.35,2.89,1.692,4.582,12.5,4.31,4.28
0.375,2.968,1.615,4.583,13.23,4.4,4.41
0.4,3.04,1.546,4.586,13.94,4.49,4.54
0.45,3.168,1.426,4.594,15.35,4.64,4.77
0.5,3.275,1.326,4.601,16.72,4.78,4.99
0.55,3.366,1.24,4.606,18.07,4.91,5.2
0.6,3.441,1.166,4.606999999999999,19.39,5.03,5.39
0.65,3.502,1.101,4.603,20.7,5.14,5.57
0.7,3.551,1.043,4.594,22.0,5.24,5.74
0.8,3.619,9.467,13.086,24.57,5.43,6.07
0.9,3.654,8.68,12.334,27.13,5.61,6.38
0.001,3.664,8.026,11.69,29.69,5.77,6.67
0.0011,3.655,7.472,11.127,32.27,5.92,6.96
0.0012,3.632,6.997,10.629,34.87,6.07,7.23
0.0013,3.599,6.584,10.183,37.5,6.21,7.5
0.0014,3.558,6.222,9.780000000000001,40.16,6.35,7.76
0.0015,3.513,5.901,9.414,42.87,6.48,8.03
0.0016,3.464,5.615,9.079,45.62,6.61,8.29
0.0017,3.414,5.357,8.771,48.41,6.74,8.55
0.0018,3.362,5.125,8.487,51.25,6.87,8.81
0.002,3.26,4.72,7.9799999999999995,57.08,7.14,9.33
0.00225,3.137,4.302,7.439,64.65,7.5,9.99
0.0025,3.022,3.958,6.98,72.52,7.86,10.66
0.00275,2.915,3.67,6.585,80.71,8.23,11.35
0.003,2.817,3.423,6.24,89.21,8.6,12.05
0.00325,2.728,3.21,5.938000000000001,98.0,8.97,12.76
0.0035,2.645,3.024,5.6690000000000005,107.09,9.35,13.49
0.00375,2.569,2.86,5.429,116.46,9.73,14.24
0.004,2.499,2.715,5.214,126.11,10.12,15.0
0.0045,2.372,2.467,4.839,146.23,11.1,16.57
0.005,2.262,2.263,4.525,167.39,12.09,18.2
0.0055,2.165,2.093,4.258,189.57,13.09,19.89
0.006,2.078,1.948,4.026,212.72,14.11,21.63
0.0065,2.0,1.823,3.823,236.84,15.15,23.43
0.007,1.929,1.715,3.644,261.88,16.2,25.27
0.008,1.805,1.535,3.34,314.64,19.07,29.12
0.009,1.714,1.391,3.105,370.66,21.89,33.13
0.01,1.625,1.273,2.8979999999999997,429.73,24.69,37.3
