Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.035,1.17,4.85,6.02,1.41,1.32,1.03
0.0375,1.219,4.747,5.966,1.5,1.37,1.08
0.04,1.266,4.648,5.914,1.59,1.42,1.12
0.045,1.357,4.464,5.821000000000001,1.78,1.5,1.2
0.05,1.444,4.296,5.74,1.96,1.59,1.27
0.055,1.527,4.142,5.6690000000000005,2.13,1.66,1.34
0.06,1.606,4.0,5.606,2.31,1.73,1.41
0.065,1.683,3.869,5.5520000000000005,2.48,1.8,1.47
0.07,1.757,3.748,5.505,2.65,1.86,1.53
0.08,1.897,3.53,5.427,2.98,1.97,1.65
0.09,2.03,3.341,5.371,3.3,2.07,1.75
0.1,2.155,3.173,5.327999999999999,3.62,2.17,1.85
0.11,2.274,3.025,5.2989999999999995,3.92,2.25,1.94
0.12,2.387,2.892,5.279,4.22,2.33,2.02
0.13,2.495,2.772,5.2669999999999995,4.51,2.4,2.1
0.14,2.598,2.663,5.260999999999999,4.8,2.46,2.17
0.15,2.697,2.564,5.261,5.08,2.52,2.25
0.16,2.792,2.473,5.265,5.36,2.58,2.31
0.17,2.882,2.389,5.271,5.63,2.63,2.38
0.18,2.969,2.311,5.279999999999999,5.89,2.68,2.44
0.2,3.133,2.173,5.306,6.41,2.77,2.55
0.225,3.321,2.025,5.346,7.04,2.87,2.68
0.25,3.491,1.898,5.389,7.64,2.96,2.8
0.275,3.645,1.788,5.433,8.23,3.04,2.91
0.3,3.786,1.692,5.478,8.8,3.11,3.01
0.325,3.913,1.607,5.52,9.36,3.18,3.11
0.35,4.028,1.531,5.558999999999999,9.91,3.24,3.2
0.375,4.132,1.463,5.595,10.45,3.3,3.28
0.4,4.225,1.402,5.627,10.98,3.35,3.37
0.45,4.385,1.295,5.68,12.02,3.45,3.52
0.5,4.511,1.205,5.716,13.03,3.53,3.66
0.55,4.609,1.128,5.737,14.03,3.61,3.79
0.6,4.683,1.062,5.745,15.02,3.69,3.91
0.65,4.735,1.004,5.739000000000001,16.01,3.75,4.03
0.7,4.77,9.52,14.29,16.99,3.82,4.14
0.8,4.795,8.649,13.443999999999999,18.95,3.94,4.36
0.9,4.776,7.939,12.715,20.92,4.06,4.57
0.001,4.724,7.347,12.071000000000002,22.92,4.16,4.77
0.0011,4.651,6.846,11.497,24.95,4.27,4.97
0.0012,4.564,6.415,10.979,27.03,4.37,5.16
0.0013,4.467,6.041,10.508,29.15,4.47,5.35
0.0014,4.365,5.711,10.076,31.33,4.57,5.55
0.0015,4.261,5.419,9.68,33.57,4.67,5.75
0.0016,4.157,5.159,9.315999999999999,35.86,4.77,5.95
0.0017,4.055,4.924,8.979,38.22,4.87,6.15
0.0018,3.955,4.712,8.667,40.64,4.97,6.35
0.002,3.764,4.343,8.107,45.67,5.19,6.77
0.00225,3.547,3.962,7.509,52.32,5.5,7.32
0.0025,3.354,3.648,7.002000000000001,59.38,5.83,7.9
0.00275,3.184,3.383,6.567,66.85,6.16,8.5
0.003,3.034,3.158,6.192,74.7,6.51,9.14
0.00325,2.901,2.962,5.8629999999999995,82.94,6.88,9.8
0.0035,2.783,2.792,5.574999999999999,91.56,7.25,10.5
0.00375,2.678,2.642,5.32,100.52,7.64,11.22
0.004,2.584,2.508,5.0920000000000005,109.84,8.04,11.96
0.0045,2.422,2.28,4.702,129.44,9.08,13.53
0.005,2.289,2.093,4.382,150.28,10.14,15.18
0.0055,2.177,1.936,4.1129999999999995,172.27,11.22,16.92
0.006,2.082,1.803,3.885,195.35,12.32,18.73
0.0065,1.999,1.688,3.6870000000000003,219.46,13.43,20.6
0.007,1.926,1.588,3.5140000000000002,244.53,14.56,22.54
0.008,1.802,1.422,3.224,297.38,17.64,26.58
0.009,1.691,1.289,2.98,353.81,20.66,30.83
0.01,1.59,1.181,2.771,413.92,23.68,35.3
