Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.13,4.801,5.068,9.869,3.11,1.02,1.01
0.14,4.988,4.827,9.815000000000001,3.29,1.04,1.04
0.15,5.166,4.611,9.777000000000001,3.46,1.06,1.06
0.16,5.336,4.416,9.752,3.63,1.08,1.09
0.17,5.497,4.239,9.736,3.79,1.09,1.11
0.18,5.651,4.077,9.728,3.95,1.11,1.14
0.2,5.938,3.792,9.73,4.26,1.13,1.18
0.225,6.262,3.493,9.754999999999999,4.64,1.16,1.23
0.25,6.551,3.243,9.794,5.0,1.19,1.27
0.275,6.808,3.03,9.838,5.35,1.21,1.31
0.3,7.037,2.846,9.883,5.68,1.23,1.34
0.325,7.241,2.685,9.926,6.01,1.25,1.38
0.35,7.422,2.544,9.966,6.34,1.26,1.41
0.375,7.582,2.418,10.0,6.65,1.28,1.44
0.4,7.722,2.305,10.027000000000001,6.96,1.29,1.47
0.45,7.953,2.111,10.064,7.57,1.32,1.52
0.5,8.126,1.95,10.075999999999999,8.17,1.34,1.56
0.55,8.251,1.814,10.065,8.76,1.37,1.61
0.6,8.335,1.698,10.033000000000001,9.35,1.39,1.65
0.65,8.385,1.597,9.982,9.93,1.41,1.69
0.7,8.407,1.508,9.915,10.51,1.43,1.73
0.8,8.386,1.359,9.745,11.67,1.46,1.8
0.9,8.301,1.24,9.541,12.84,1.5,1.87
0.001,8.173,1.141,9.314,14.03,1.53,1.93
0.0011,8.018,1.058,9.076,15.25,1.57,2.0
0.0012,7.845,9.873,17.718,16.49,1.6,2.06
0.0013,7.664,9.262,16.926000000000002,17.76,1.63,2.13
0.0014,7.478,8.727,16.205,19.06,1.67,2.19
0.0015,7.291,8.256,15.547,20.4,1.7,2.25
0.0016,7.108,7.836,14.943999999999999,21.77,1.74,2.32
0.0017,6.928,7.461,14.389,23.18,1.77,2.39
0.0018,6.753,7.123,13.876000000000001,24.62,1.81,2.45
0.002,6.422,6.537,12.959,27.63,1.9,2.59
0.00225,6.045,5.936,11.981,31.6,2.04,2.77
0.0025,5.708,5.444,11.152000000000001,35.82,2.19,2.96
0.00275,5.407,5.032,10.439,40.28,2.34,3.16
0.003,5.14,4.682,9.822,44.98,2.49,3.37
0.00325,4.902,4.381,9.283000000000001,49.92,2.65,3.59
0.0035,4.689,4.119,8.808,55.1,2.82,3.82
0.00375,4.498,3.888,8.386,60.5,2.99,4.07
0.004,4.326,3.684,8.01,66.13,3.17,4.32
0.0045,4.03,3.337,7.367000000000001,78.03,3.73,4.85
0.005,3.785,3.054,6.839,90.75,4.28,5.42
0.0055,3.58,2.818,6.398,104.25,4.83,6.02
0.006,3.405,2.618,6.023,118.49,5.39,6.65
0.0065,3.254,2.446,5.7,133.42,5.94,7.31
0.007,3.122,2.296,5.417999999999999,149.02,6.5,8.0
0.008,2.904,2.049,4.952999999999999,182.06,8.29,9.44
0.009,2.714,1.853,4.567,217.5,9.98,10.98
0.01,2.536,1.693,4.229,255.43,11.63,12.6
