Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.03,8.73,6.172,14.902000000000001,1.28,1.33,1.03
0.0325,9.134,6.017,15.151,1.39,1.4,1.09
0.035,9.524,5.87,15.393999999999998,1.49,1.46,1.14
0.0375,9.901,5.731,15.632,1.6,1.52,1.19
0.04,1.027,5.599,6.626,1.7,1.58,1.24
0.045,1.097,5.355,6.452,1.91,1.69,1.34
0.05,1.163,5.135,6.298,2.12,1.79,1.43
0.055,1.225,4.935,6.16,2.32,1.89,1.52
0.06,1.285,4.752,6.037,2.53,1.98,1.61
0.065,1.342,4.585,5.927,2.73,2.06,1.69
0.07,1.396,4.431,5.827,2.93,2.14,1.76
0.08,1.496,4.157,5.6530000000000005,3.32,2.29,1.91
0.09,1.588,3.92,5.508,3.71,2.43,2.05
0.1,1.673,3.713,5.386,4.09,2.55,2.17
0.11,1.75,3.529,5.279,4.47,2.66,2.29
0.12,1.822,3.366,5.188000000000001,4.84,2.77,2.41
0.13,1.888,3.22,5.1080000000000005,5.21,2.87,2.52
0.14,1.95,3.088,5.038,5.58,2.96,2.62
0.15,2.008,2.968,4.976,5.94,3.05,2.72
0.16,2.063,2.858,4.921,6.29,3.13,2.82
0.17,2.115,2.757,4.872,6.64,3.21,2.91
0.18,2.165,2.664,4.829000000000001,6.99,3.28,3.0
0.2,2.258,2.499,4.757,7.68,3.42,3.17
0.225,2.364,2.322,4.686,8.52,3.58,3.37
0.25,2.462,2.172,4.634,9.35,3.72,3.55
0.275,2.552,2.043,4.595000000000001,10.16,3.85,3.73
0.3,2.635,1.93,4.5649999999999995,10.96,3.97,3.89
0.325,2.713,1.831,4.5440000000000005,11.74,4.08,4.04
0.35,2.785,1.742,4.527,12.51,4.18,4.19
0.375,2.851,1.663,4.514,13.26,4.28,4.33
0.4,2.913,1.591,4.504,14.01,4.37,4.46
0.45,3.023,1.467,4.49,15.48,4.53,4.71
0.5,3.118,1.363,4.481,16.92,4.68,4.95
0.55,3.199,1.275,4.474,18.34,4.82,5.17
0.6,3.269,1.198,4.4670000000000005,19.73,4.95,5.37
0.65,3.327,1.131,4.458,21.11,5.07,5.57
0.7,3.377,1.072,4.449,22.47,5.18,5.76
0.8,3.454,9.722,13.176,25.17,5.38,6.11
0.9,3.505,8.911,12.416,27.85,5.57,6.44
0.001,3.537,8.237,11.774000000000001,30.51,5.74,6.75
0.0011,3.553,7.667,11.219999999999999,33.17,5.91,7.05
0.0012,3.558,7.178,10.736,35.83,6.06,7.34
0.0013,3.553,6.753,10.306000000000001,38.5,6.21,7.61
0.0014,3.54,6.38,9.92,41.19,6.35,7.89
0.0015,3.522,6.05,9.572,43.9,6.48,8.15
0.0016,3.498,5.756,9.254000000000001,46.63,6.61,8.41
0.0017,3.472,5.491,8.963,49.39,6.74,8.67
0.0018,3.442,5.252,8.693999999999999,52.17,6.87,8.93
0.002,3.378,4.836,8.214,57.83,7.14,9.44
0.00225,3.29,4.407,7.697,65.09,7.48,10.06
0.0025,3.201,4.054,7.255000000000001,72.57,7.81,10.69
0.00275,3.111,3.758,6.869,80.28,8.14,11.32
0.003,3.023,3.505,6.5280000000000005,88.22,8.47,11.95
0.00325,2.938,3.286,6.224,96.41,8.81,12.59
0.0035,2.857,3.096,5.953,104.84,9.14,13.24
0.00375,2.779,2.927,5.7059999999999995,113.52,9.48,13.9
0.004,2.704,2.778,5.482,122.45,9.82,14.57
0.0045,2.566,2.524,5.09,141.06,10.68,15.94
0.005,2.441,2.315,4.756,160.67,11.55,17.36
0.0055,2.328,2.141,4.468999999999999,181.28,12.43,18.84
0.006,2.226,1.992,4.218,202.88,13.34,20.37
0.0065,2.132,1.865,3.997,225.47,14.26,21.96
0.007,2.047,1.753,3.8,249.04,15.21,23.6
0.008,1.898,1.569,3.4669999999999996,299.05,17.86,27.05
0.009,1.802,1.422,3.224,352.4,20.49,30.68
0.01,1.707,1.301,3.008,408.68,23.1,34.47
