Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.05,1.899,8.261,10.16,1.82,1.24,1.03
0.055,2.037,7.867,9.904,1.97,1.29,1.09
0.06,2.169,7.514,9.683,2.12,1.34,1.13
0.065,2.296,7.197,9.493,2.27,1.38,1.18
0.07,2.419,6.91,9.329,2.41,1.41,1.22
0.08,2.653,6.409,9.062,2.68,1.48,1.29
0.09,2.873,5.985,8.858,2.94,1.54,1.36
0.1,3.081,5.622,8.703,3.19,1.59,1.42
0.11,3.277,5.306,8.583,3.44,1.63,1.47
0.12,3.463,5.029,8.492,3.67,1.67,1.52
0.13,3.639,4.783,8.422,3.89,1.7,1.57
0.14,3.806,4.563,8.369,4.11,1.73,1.61
0.15,3.964,4.365,8.329,4.32,1.76,1.65
0.16,4.115,4.186,8.301,4.53,1.79,1.68
0.17,4.258,4.023,8.280999999999999,4.73,1.81,1.72
0.18,4.394,3.874,8.268,4.93,1.84,1.75
0.2,4.645,3.611,8.256,5.31,1.88,1.81
0.225,4.926,3.333,8.259,5.77,1.92,1.88
0.25,5.172,3.1,8.272,6.21,1.96,1.94
0.275,5.389,2.901,8.29,6.64,1.99,2.0
0.3,5.579,2.729,8.308,7.05,2.02,2.05
0.325,5.746,2.578,8.324,7.46,2.05,2.1
0.35,5.891,2.445,8.336,7.85,2.07,2.14
0.375,6.017,2.326,8.343,8.24,2.1,2.18
0.4,6.127,2.22,8.347,8.63,2.12,2.22
0.45,6.303,2.036,8.339,9.38,2.16,2.3
0.5,6.43,1.884,8.314,10.13,2.19,2.36
0.55,6.519,1.755,8.274000000000001,10.86,2.23,2.43
0.6,6.577,1.644,8.221,11.59,2.26,2.49
0.65,6.61,1.547,8.157,12.32,2.29,2.55
0.7,6.623,1.463,8.086,13.04,2.31,2.6
0.8,6.604,1.32,7.924,14.5,2.37,2.71
0.9,6.543,1.206,7.7490000000000006,15.98,2.42,2.81
0.001,6.455,1.111,7.566,17.47,2.47,2.91
0.0011,6.352,1.031,7.383,19.0,2.52,3.01
0.0012,6.238,9.629,15.867,20.55,2.56,3.11
0.0013,6.12,9.039,15.158999999999999,22.13,2.61,3.2
0.0014,6.0,8.523,14.523,23.75,2.65,3.3
0.0015,5.88,8.067,13.947,25.4,2.7,3.4
0.0016,5.761,7.662,13.423,27.09,2.75,3.49
0.0017,5.645,7.298,12.943,28.81,2.79,3.59
0.0018,5.532,6.971,12.503,30.57,2.84,3.69
0.002,5.317,6.403,11.719999999999999,34.2,2.95,3.89
0.00225,5.068,5.819,10.887,38.95,3.12,4.15
0.0025,4.841,5.341,10.182,43.93,3.28,4.42
0.00275,4.635,4.94,9.575,49.14,3.46,4.69
0.003,4.447,4.599,9.046,54.59,3.63,4.98
0.00325,4.276,4.306,8.582,60.26,3.82,5.28
0.0035,4.119,4.05,8.169,66.15,4.0,5.59
0.00375,3.975,3.825,7.800000000000001,72.26,4.2,5.91
0.004,3.842,3.625,7.4670000000000005,78.6,4.39,6.24
0.0045,3.606,3.287,6.893,91.91,4.98,6.92
0.005,3.402,3.009,6.411,106.06,5.57,7.65
0.0055,3.224,2.778,6.002000000000001,121.03,6.17,8.42
0.006,3.067,2.582,5.649,136.8,6.78,9.22
0.0065,2.927,2.414,5.341,153.36,7.4,10.06
0.007,2.802,2.267,5.069,170.68,8.02,10.93
0.008,2.588,2.024,4.612,207.55,10.0,12.77
0.009,2.439,1.831,4.27,247.08,11.89,14.73
0.01,2.295,1.674,3.969,289.07,13.73,16.79
