Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.0325,1.05,5.0,6.05,1.35,1.3,1.01
0.035,1.095,4.889,5.984,1.44,1.36,1.06
0.0375,1.139,4.783,5.922000000000001,1.54,1.41,1.11
0.04,1.182,4.682,5.864000000000001,1.64,1.46,1.15
0.045,1.264,4.494,5.758,1.83,1.56,1.24
0.05,1.343,4.323,5.666,2.02,1.65,1.32
0.055,1.418,4.166,5.5840000000000005,2.2,1.73,1.4
0.06,1.491,4.021,5.5120000000000005,2.39,1.81,1.47
0.065,1.562,3.888,5.45,2.57,1.88,1.54
0.07,1.63,3.765,5.395,2.75,1.95,1.61
0.08,1.76,3.544,5.304,3.1,2.07,1.73
0.09,1.883,3.352,5.234999999999999,3.44,2.18,1.84
0.1,1.999,3.183,5.182,3.78,2.28,1.95
0.11,2.11,3.033,5.143,4.1,2.38,2.05
0.12,2.215,2.898,5.1129999999999995,4.42,2.46,2.14
0.13,2.316,2.777,5.093,4.73,2.54,2.23
0.14,2.411,2.667,5.077999999999999,5.04,2.61,2.31
0.15,2.503,2.567,5.07,5.34,2.68,2.38
0.16,2.59,2.475,5.0649999999999995,5.63,2.74,2.46
0.17,2.674,2.391,5.0649999999999995,5.92,2.8,2.53
0.18,2.754,2.313,5.067,6.2,2.85,2.59
0.2,2.903,2.174,5.077,6.75,2.95,2.72
0.225,3.073,2.025,5.098,7.42,3.06,2.86
0.25,3.224,1.897,5.121,8.07,3.16,3.0
0.275,3.36,1.787,5.147,8.71,3.25,3.12
0.3,3.481,1.691,5.172,9.32,3.33,3.23
0.325,3.588,1.606,5.194,9.93,3.41,3.34
0.35,3.684,1.53,5.214,10.52,3.48,3.44
0.375,3.769,1.461,5.23,11.11,3.54,3.54
0.4,3.844,1.4,5.244,11.69,3.6,3.63
0.45,3.969,1.293,5.262,12.83,3.71,3.8
0.5,4.064,1.203,5.267,13.95,3.81,3.96
0.55,4.134,1.126,5.26,15.06,3.91,4.11
0.6,4.185,1.059,5.244,16.16,3.99,4.25
0.65,4.219,1.001,5.220000000000001,17.25,4.07,4.39
0.7,4.24,9.494,13.734,18.35,4.15,4.53
0.8,4.251,8.623,12.873999999999999,20.55,4.3,4.78
0.9,4.231,7.913,12.144,22.76,4.43,5.03
0.001,4.192,7.322,11.514,25.01,4.56,5.26
0.0011,4.139,6.822,10.961,27.29,4.69,5.5
0.0012,4.079,6.392,10.471,29.61,4.81,5.73
0.0013,4.014,6.018,10.032,31.98,4.93,5.96
0.0014,3.946,5.689,9.635,34.39,5.04,6.19
0.0015,3.877,5.398,9.274999999999999,36.84,5.16,6.42
0.0016,3.808,5.138,8.946,39.35,5.28,6.64
0.0017,3.74,4.904,8.644,41.91,5.39,6.88
0.0018,3.673,4.692,8.365,44.51,5.5,7.11
0.002,3.544,4.324,7.868,49.88,5.76,7.58
0.00225,3.394,3.944,7.338,56.88,6.09,8.18
0.0025,3.257,3.631,6.888,64.19,6.43,8.79
0.00275,3.131,3.367,6.497999999999999,71.82,6.78,9.43
0.003,3.017,3.142,6.159,79.76,7.13,10.08
0.00325,2.911,2.948,5.859,88.0,7.49,10.75
0.0035,2.815,2.778,5.593,96.53,7.86,11.44
0.00375,2.726,2.628,5.354,105.37,8.23,12.14
0.004,2.644,2.495,5.139,114.48,8.62,12.86
0.0045,2.498,2.268,4.766,133.56,9.58,14.36
0.005,2.372,2.082,4.454,153.72,10.57,15.93
0.0055,2.261,1.926,4.187,174.93,11.56,17.55
0.006,2.163,1.793,3.9559999999999995,197.15,12.58,19.24
0.0065,2.076,1.679,3.755,220.36,13.61,20.99
0.007,1.998,1.579,3.577,244.52,14.66,22.8
0.008,1.863,1.414,3.277,295.58,17.54,26.56
0.009,1.729,1.282,3.011,350.51,20.41,30.56
0.01,1.612,1.174,2.786,409.59,23.33,34.81
