Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.06,2.355,7.536,9.891,1.99,1.17,1.0
0.065,2.481,7.216,9.697,2.13,1.2,1.04
0.07,2.602,6.926,9.528,2.27,1.24,1.08
0.08,2.833,6.421,9.254000000000001,2.53,1.3,1.15
0.09,3.05,5.994,9.044,2.78,1.35,1.21
0.1,3.255,5.628,8.883,3.03,1.4,1.27
0.11,3.449,5.311,8.76,3.26,1.44,1.32
0.12,3.632,5.032,8.664,3.49,1.47,1.37
0.13,3.806,4.785,8.591000000000001,3.7,1.5,1.41
0.14,3.971,4.564,8.535,3.92,1.53,1.45
0.15,4.128,4.365,8.493,4.12,1.56,1.49
0.16,4.277,4.186,8.463000000000001,4.32,1.59,1.52
0.17,4.418,4.022,8.440000000000001,4.52,1.61,1.56
0.18,4.552,3.872,8.424,4.71,1.63,1.59
0.2,4.801,3.608,8.409,5.08,1.67,1.65
0.225,5.08,3.33,8.41,5.53,1.71,1.71
0.25,5.324,3.097,8.421,5.96,1.75,1.77
0.275,5.54,2.897,8.437,6.38,1.78,1.82
0.3,5.73,2.725,8.455,6.79,1.81,1.87
0.325,5.896,2.574,8.469999999999999,7.18,1.84,1.92
0.35,6.041,2.44,8.481,7.57,1.86,1.96
0.375,6.168,2.322,8.49,7.95,1.88,2.0
0.4,6.278,2.215,8.492999999999999,8.33,1.9,2.04
0.45,6.456,2.032,8.488,9.07,1.94,2.12
0.5,6.585,1.879,8.464,9.8,1.98,2.18
0.55,6.675,1.75,8.425,10.52,2.01,2.25
0.6,6.735,1.639,8.374,11.23,2.04,2.3
0.65,6.769,1.543,8.312,11.94,2.07,2.36
0.7,6.782,1.458,8.24,12.65,2.09,2.42
0.8,6.764,1.316,8.08,14.08,2.15,2.52
0.9,6.702,1.202,7.904,15.52,2.2,2.62
0.001,6.613,1.107,7.720000000000001,16.98,2.25,2.72
0.0011,6.507,1.028,7.535,18.47,2.29,2.81
0.0012,6.391,9.595,15.986,19.99,2.34,2.9
0.0013,6.27,9.006,15.276,21.54,2.39,3.0
0.0014,6.146,8.491,14.637,23.12,2.43,3.09
0.0015,6.023,8.037,14.06,24.73,2.48,3.18
0.0016,5.901,7.632,13.533,26.38,2.52,3.28
0.0017,5.782,7.27,13.052,28.06,2.57,3.37
0.0018,5.666,6.943,12.609,29.78,2.61,3.47
0.002,5.444,6.377,11.821,33.33,2.73,3.66
0.00225,5.188,5.795,10.983,37.97,2.89,3.91
0.0025,4.955,5.318,10.273,42.84,3.06,4.17
0.00275,4.743,4.919,9.661999999999999,47.93,3.23,4.44
0.003,4.55,4.579,9.129,53.26,3.4,4.71
0.00325,4.375,4.287,8.661999999999999,58.8,3.59,5.0
0.0035,4.214,4.032,8.246,64.56,3.77,5.3
0.00375,4.066,3.808,7.874,70.54,3.96,5.6
0.004,3.93,3.609,7.539,76.74,4.15,5.92
0.0045,3.689,3.271,6.96,89.75,4.74,6.58
0.005,3.48,2.995,6.475,103.59,5.32,7.28
0.0055,3.299,2.765,6.064,118.23,5.91,8.01
0.006,3.139,2.57,5.709,133.65,6.5,8.78
0.0065,2.997,2.402,5.399,149.83,7.1,9.58
0.007,2.869,2.256,5.125,166.76,7.72,10.42
0.008,2.651,2.014,4.664999999999999,202.77,9.65,12.18
0.009,2.49,1.822,4.312,241.44,11.5,14.05
0.01,2.336,1.665,4.0009999999999994,282.65,13.31,16.03
