Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.00275,8.708,7.715,16.423000000000002,23.52,1.02,1.07
0.003,8.277,7.164,15.440999999999999,26.46,1.12,1.14
0.00325,7.895,6.691,14.585999999999999,29.54,1.22,1.22
0.0035,7.552,6.28,13.832,32.77,1.32,1.31
0.00375,7.244,5.92,13.164,36.14,1.42,1.39
0.004,6.964,5.601,12.565000000000001,39.65,1.52,1.48
0.0045,6.476,5.062,11.538,47.08,1.88,1.68
0.005,6.064,4.622,10.686,55.04,2.23,1.89
0.0055,5.711,4.257,9.968,63.52,2.57,2.11
0.006,5.404,3.948,9.352,72.5,2.9,2.34
0.0065,5.135,3.684,8.818999999999999,81.97,3.24,2.59
0.007,4.896,3.454,8.35,91.92,3.57,2.85
0.008,4.491,3.075,7.566,113.21,4.74,3.4
0.009,4.146,2.775,6.920999999999999,136.34,5.83,3.99
0.01,3.828,2.531,6.359,161.4,6.9,4.63
