Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.08,3.131,5.535,8.666,2.35,1.17,1.04
0.09,3.357,5.181,8.538,2.59,1.21,1.09
0.1,3.567,4.875,8.442,2.81,1.26,1.14
0.11,3.763,4.609,8.372,3.03,1.29,1.19
0.12,3.944,4.374,8.318,3.23,1.33,1.23
0.13,4.113,4.165,8.278,3.44,1.36,1.27
0.14,4.269,3.978,8.247,3.64,1.38,1.31
0.15,4.414,3.81,8.224,3.83,1.41,1.35
0.16,4.548,3.657,8.205,4.02,1.43,1.38
0.17,4.672,3.518,8.19,4.21,1.46,1.41
0.18,4.786,3.39,8.176,4.39,1.48,1.44
0.2,4.99,3.164,8.154,4.75,1.51,1.5
0.225,5.204,2.925,8.129,5.18,1.56,1.56
0.25,5.381,2.724,8.105,5.61,1.59,1.62
0.275,5.528,2.552,8.08,6.02,1.63,1.68
0.3,5.65,2.402,8.052,6.43,1.66,1.73
0.325,5.752,2.272,8.024,6.83,1.69,1.78
0.35,5.837,2.156,7.993,7.23,1.71,1.82
0.375,5.908,2.053,7.961,7.63,1.74,1.87
0.4,5.967,1.96,7.927,8.02,1.76,1.91
0.45,6.057,1.8,7.857,8.81,1.81,1.99
0.5,6.116,1.667,7.7829999999999995,9.58,1.85,2.07
0.55,6.152,1.554,7.706,10.36,1.89,2.14
0.6,6.169,1.457,7.6259999999999994,11.14,1.92,2.21
0.65,6.172,1.372,7.544,11.91,1.96,2.28
0.7,6.162,1.298,7.46,12.69,1.99,2.35
0.8,6.117,1.173,7.29,14.26,2.06,2.47
0.9,6.048,1.072,7.12,15.85,2.13,2.6
0.001,5.962,9.883,15.844999999999999,17.47,2.19,2.72
0.0011,5.867,9.179,15.046,19.12,2.25,2.84
0.0012,5.766,8.577,14.343,20.8,2.31,2.96
0.0013,5.663,8.055,13.718,22.51,2.37,3.07
0.0014,5.558,7.599,13.157,24.25,2.43,3.19
0.0015,5.454,7.195,12.649000000000001,26.03,2.49,3.31
0.0016,5.352,6.836,12.188,27.84,2.55,3.43
0.0017,5.252,6.514,11.766,29.69,2.61,3.55
0.0018,5.154,6.224,11.378,31.58,2.67,3.67
0.002,4.967,5.72,10.687,35.47,2.81,3.91
0.00225,4.749,5.202,9.951,40.54,3.02,4.22
0.0025,4.55,4.776,9.326,45.84,3.22,4.54
0.00275,4.367,4.42,8.786999999999999,51.37,3.43,4.87
0.003,4.2,4.117,8.317,57.13,3.64,5.21
0.00325,4.046,3.855,7.901,63.12,3.85,5.56
0.0035,3.905,3.628,7.5329999999999995,69.34,4.07,5.92
0.00375,3.774,3.427,7.2010000000000005,75.78,4.3,6.29
0.004,3.653,3.249,6.902,82.44,4.52,6.67
0.0045,3.437,2.947,6.384,96.4,5.18,7.45
0.005,3.249,2.699,5.948,111.22,5.83,8.28
0.0055,3.084,2.493,5.577,126.87,6.48,9.14
0.006,2.938,2.318,5.256,143.34,7.14,10.04
0.0065,2.807,2.167,4.974,160.6,7.81,10.97
0.007,2.69,2.036,4.726,178.64,8.48,11.94
0.008,2.487,1.819,4.306,217.0,10.57,13.99
0.009,2.334,1.646,3.98,258.19,12.57,16.15
0.01,2.188,1.505,3.693,302.13,14.54,18.43
