Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.002,9.014,8.465,17.479,20.28,1.04,1.38
0.00225,8.553,7.67,16.223,23.12,1.14,1.47
0.0025,8.13,7.021,15.151,26.1,1.24,1.56
0.00275,7.741,6.479,14.219999999999999,29.24,1.34,1.66
0.003,7.385,6.02,13.405,32.53,1.44,1.76
0.00325,7.059,5.625,12.684000000000001,35.98,1.55,1.86
0.0035,6.759,5.283,12.042000000000002,39.58,1.66,1.97
0.00375,6.484,4.982,11.466000000000001,43.35,1.77,2.08
0.004,6.23,4.715,10.945,47.27,1.88,2.2
0.0045,5.777,4.264,10.041,55.57,2.27,2.45
0.005,5.389,3.896,9.285,64.51,2.65,2.72
0.0055,5.052,3.59,8.642,74.06,3.03,3.0
0.006,4.758,3.331,8.089,84.23,3.41,3.31
0.0065,4.5,3.109,7.609,95.01,3.79,3.63
0.007,4.273,2.917,7.1899999999999995,106.38,4.18,3.97
0.008,3.892,2.598,6.49,130.84,5.54,4.7
0.009,3.617,2.346,5.963,157.43,6.8,5.49
0.01,3.357,2.141,5.498,186.06,8.03,6.33
