Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.1,3.657,6.14,9.797,2.82,1.08,1.03
0.11,3.845,5.776,9.621,3.04,1.11,1.07
0.12,4.021,5.458,9.479,3.25,1.14,1.11
0.13,4.186,5.178,9.364,3.46,1.16,1.15
0.14,4.341,4.928,9.269,3.66,1.19,1.18
0.15,4.487,4.705,9.192,3.86,1.21,1.21
0.16,4.625,4.503,9.128,4.05,1.23,1.24
0.17,4.754,4.321,9.075,4.24,1.25,1.27
0.18,4.876,4.154,9.030000000000001,4.42,1.26,1.3
0.2,5.1,3.86,8.959999999999999,4.78,1.3,1.35
0.225,5.346,3.553,8.899000000000001,5.22,1.33,1.41
0.25,5.56,3.296,8.856,5.64,1.36,1.46
0.275,5.745,3.077,8.822,6.05,1.39,1.51
0.3,5.905,2.889,8.794,6.45,1.41,1.55
0.325,6.044,2.724,8.768,6.84,1.44,1.59
0.35,6.164,2.579,8.743,7.23,1.46,1.63
0.375,6.267,2.451,8.718,7.61,1.48,1.67
0.4,6.356,2.336,8.692,7.98,1.5,1.71
0.45,6.496,2.138,8.634,8.72,1.53,1.77
0.5,6.595,1.974,8.568999999999999,9.46,1.56,1.83
0.55,6.662,1.835,8.497,10.18,1.59,1.89
0.6,6.704,1.717,8.421,10.9,1.62,1.95
0.65,6.725,1.614,8.339,11.63,1.65,2.0
0.7,6.729,1.524,8.253,12.35,1.67,2.05
0.8,6.702,1.373,8.075,13.8,1.72,2.15
0.9,6.641,1.251,7.8919999999999995,15.26,1.77,2.24
0.001,6.559,1.151,7.71,16.74,1.82,2.33
0.0011,6.463,1.067,7.53,18.25,1.87,2.42
0.0012,6.36,9.954,16.314,19.78,1.91,2.51
0.0013,6.253,9.334,15.587,21.34,1.96,2.59
0.0014,6.144,8.793,14.937,22.93,2.0,2.68
0.0015,6.036,8.316,14.352,24.54,2.05,2.77
0.0016,5.929,7.892,13.821000000000002,26.19,2.09,2.85
0.0017,5.824,7.513,13.337,27.87,2.13,2.94
0.0018,5.721,7.171,12.892,29.58,2.18,3.03
0.002,5.525,6.579,12.104,33.1,2.29,3.2
0.00225,5.297,5.972,11.269,37.67,2.46,3.42
0.0025,5.088,5.475,10.562999999999999,42.43,2.62,3.65
0.00275,4.897,5.059,9.956,47.39,2.79,3.89
0.003,4.722,4.707,9.429,52.55,2.95,4.13
0.00325,4.561,4.403,8.963999999999999,57.89,3.12,4.37
0.0035,4.414,4.139,8.553,63.41,3.3,4.63
0.00375,4.277,3.906,8.183,69.12,3.47,4.89
0.004,4.151,3.7,7.851,75.01,3.65,5.15
0.0045,3.924,3.351,7.275,87.31,4.19,5.7
0.005,3.727,3.066,6.792999999999999,100.3,4.72,6.27
0.0055,3.554,2.828,6.382,113.95,5.25,6.86
0.006,3.4,2.627,6.026999999999999,128.25,5.78,7.48
0.0065,3.262,2.454,5.716,143.18,6.31,8.12
0.007,3.138,2.304,5.442,158.72,6.84,8.78
0.008,2.924,2.055,4.979,191.56,8.55,10.15
0.009,2.726,1.858,4.584,226.81,10.18,11.61
0.01,2.542,1.697,4.239,264.61,11.8,13.15
