Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop
0.001,47.32,73.96,121.3
0.0015,61.63,72.54,134.2
0.002,74.34,70.31,144.7
0.0025,85.98,67.94,153.9
0.003,96.82,65.62,162.4
0.004,116.8,61.37,178.2
0.005,135.1,57.67,192.7
0.006,152.1,54.45,206.6
0.007,168.2,51.63,219.8
0.008,183.4,49.13,232.6
0.009,198.1,46.91,245.0
0.01,212.1,44.92,257.0
0.0125,245.3,40.72,286.0
0.015,276.1,37.35,313.5
0.0175,305.2,34.57,339.7
0.02,332.7,32.24,365.0
0.0225,359.1,30.24,389.3
0.025,384.4,28.51,412.9
0.0275,408.7,27.0,435.7
0.03,432.2,25.66,457.9
0.035,477.0,23.39,500.4
0.04,519.3,21.53,540.8
0.045,559.4,19.98,579.3
0.05,597.5,18.66,616.2
0.055,633.9,17.53,651.4
0.06,668.6,16.54,685.2
0.065,701.9,15.67,717.6
0.07,733.7,14.89,748.6
0.075,764.3,14.2,778.5
0.08,793.5,13.57,807.1
0.085,821.6,13.01,834.6
0.09,848.5,12.49,861.0
0.095,874.4,12.02,886.4
0.1,899.1,11.59,910.7
0.125,1008.0,9.85,1018.0
0.15,1097.0,8.603,1105.0
0.175,1168.0,7.66,1175.0
0.2,1225.0,6.918,1232.0
0.225,1270.0,6.318,1277.0
0.25,1307.0,5.822,1312.0
0.275,1336.0,5.405,1341.0
0.3,1359.0,5.047,1364.0
0.35,1390.0,4.468,1395.0
0.4,1408.0,4.016,1412.0
0.45,1416.0,3.653,1420.0
0.5,1417.0,3.355,1420.0
0.55,1413.0,3.105,1416.0
0.6,1405.0,2.893,1408.0
0.65,1395.0,2.709,1398.0
0.7,1383.0,2.549,1386.0
0.75,1370.0,2.409,1372.0
0.8,1356.0,2.284,1358.0
0.85,1341.0,2.172,1343.0
0.9,1326.0,2.071,1328.0
0.95,1310.0,1.98,1312.0
1.0,1295.0,1.897,1296.0
1.25,1218.0,1.574,1219.0
1.5,1146.0,1.35,1148.0
1.75,1081.0,1.185,1082.0
2.0,1023.0,1.058,1024.0
2.25,970.6,0.9568,971.5
2.5,923.9,0.8743,924.8
2.75,881.4,0.8057,882.2
3.0,842.4,0.7476,843.2
3.5,773.1,0.6546,773.8
4.0,713.1,0.5832,713.7
4.5,661.2,0.5266,661.8
5.0,617.4,0.4805,617.9
5.5,579.7,0.4422,580.2
6.0,547.0,0.4098,547.4
6.5,518.2,0.3821,518.6
7.0,492.7,0.3581,493.1
7.5,470.0,0.3371,470.3
8.0,449.5,0.3185,449.8
8.5,430.9,0.302,431.2
9.0,414.0,0.2872,414.3
9.5,398.6,0.2738,398.9
10.0,384.4,0.2617,384.7
12.5,327.8,0.2148,328.0
15.0,287.2,0.1827,287.4
17.5,256.5,0.1593,256.7
20.0,232.5,0.1414,232.6
25.0,196.8,0.1158,196.9
27.5,183.2,0.1063,183.3
30.0,171.5,0.09825,171.6
35.0,152.6,0.08549,152.6
40.0,137.7,0.07576,137.8
45.0,125.8,0.06809,125.9
50.0,115.9,0.06186,116.0
55.0,107.7,0.05671,107.7
60.0,100.6,0.05237,100.7
65.0,94.54,0.04867,94.58
70.0,89.22,0.04547,89.26
75.0,84.53,0.04267,84.57
80.0,80.36,0.04021,80.4
85.0,76.62,0.03803,76.66
90.0,73.26,0.03607,73.3
95.0,70.21,0.03431,70.25
100.0,67.44,0.03272,67.47
125.0,56.59,0.02658,56.62
150.0,49.05,0.02241,49.08
175.0,43.49,0.01939,43.51
200.0,39.2,0.0171,39.22
225.0,35.8,0.01529,35.81
250.0,33.02,0.01383,33.03
275.0,30.7,0.01263,30.72
300.0,28.75,0.01162,28.76
350.0,25.62,0.01002,25.63
400.0,23.23,0.008807,23.24
450.0,21.33,0.007862,21.34
500.0,19.79,0.007101,19.8
550.0,18.52,0.006475,18.53
600.0,17.45,0.005949,17.45
650.0,16.53,0.005501,16.54
700.0,15.74,0.005115,15.75
750.0,15.05,0.00478,15.06
800.0,14.44,0.004485,14.45
850.0,13.91,0.004226,13.91
900.0,13.43,0.003995,13.43
950.0,12.99,0.003789,13.0
1000.0,12.6,0.003603,12.61
