Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.00275,8.564,7.857,16.421,24.96,1.03,1.1
0.003,8.172,7.294,15.466000000000001,27.94,1.13,1.17
0.00325,7.821,6.811,14.632,31.06,1.23,1.25
0.0035,7.503,6.391,13.894,34.32,1.33,1.33
0.00375,7.214,6.024,13.238,37.7,1.43,1.42
0.004,6.95,5.698,12.648,41.23,1.54,1.5
0.0045,6.486,5.148,11.634,48.66,1.89,1.69
0.005,6.09,4.7,10.79,56.6,2.24,1.88
0.0055,5.747,4.327,10.074,65.03,2.57,2.09
0.006,5.448,4.012,9.46,73.95,2.89,2.31
0.0065,5.184,3.743,8.927,83.34,3.22,2.54
0.007,4.949,3.509,8.458,93.19,3.55,2.78
0.008,4.548,3.123,7.671,114.23,4.7,3.29
0.009,4.204,2.817,7.021,137.06,5.77,3.83
0.01,3.885,2.569,6.454,161.77,6.81,4.42
