Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.05,1.84,6.088,7.928,1.77,1.25,1.03
0.055,1.955,5.83,7.785,1.93,1.3,1.08
0.06,2.066,5.596,7.662,2.08,1.35,1.13
0.065,2.172,5.384,7.556000000000001,2.23,1.4,1.18
0.07,2.274,5.189,7.463,2.38,1.44,1.23
0.08,2.466,4.846,7.312,2.66,1.52,1.31
0.09,2.645,4.552,7.196999999999999,2.93,1.59,1.39
0.1,2.812,4.297,7.109,3.2,1.65,1.46
0.11,2.968,4.073,7.041,3.46,1.7,1.52
0.12,3.114,3.875,6.989,3.71,1.75,1.58
0.13,3.25,3.698,6.948,3.95,1.8,1.63
0.14,3.378,3.539,6.917,4.19,1.84,1.69
0.15,3.499,3.395,6.894,4.42,1.88,1.74
0.16,3.613,3.264,6.877,4.65,1.91,1.78
0.17,3.72,3.144,6.864000000000001,4.87,1.95,1.83
0.18,3.821,3.034,6.855,5.09,1.98,1.87
0.2,4.006,2.838,6.844,5.52,2.03,1.95
0.225,4.209,2.631,6.84,6.04,2.1,2.04
0.25,4.386,2.455,6.841,6.55,2.15,2.12
0.275,4.539,2.304,6.843,7.04,2.2,2.19
0.3,4.671,2.173,6.844,7.52,2.25,2.27
0.325,4.786,2.058,6.843999999999999,8.0,2.29,2.33
0.35,4.885,1.956,6.840999999999999,8.46,2.33,2.4
0.375,4.97,1.864,6.834,8.93,2.36,2.46
0.4,5.043,1.782,6.825,9.38,2.4,2.51
0.45,5.157,1.64,6.797,10.29,2.46,2.62
0.5,5.236,1.521,6.757,11.18,2.52,2.73
0.55,5.289,1.42,6.709,12.07,2.57,2.82
0.6,5.32,1.333,6.6530000000000005,12.96,2.63,2.92
0.65,5.334,1.257,6.590999999999999,13.85,2.67,3.01
0.7,5.334,1.19,6.523999999999999,14.74,2.72,3.09
0.8,5.305,1.077,6.382,16.53,2.81,3.26
0.9,5.249,9.856,15.105,18.35,2.9,3.42
0.001,5.176,9.099,14.275,20.2,2.98,3.58
0.0011,5.093,8.46,13.553,22.08,3.06,3.74
0.0012,5.005,7.912,12.917,23.99,3.14,3.89
0.0013,4.914,7.437,12.350999999999999,25.95,3.22,4.05
0.0014,4.822,7.021,11.843,27.95,3.29,4.2
0.0015,4.731,6.653,11.384,29.99,3.37,4.36
0.0016,4.642,6.325,10.967,32.06,3.45,4.51
0.0017,4.555,6.031,10.585999999999999,34.19,3.52,4.67
0.0018,4.47,5.765,10.235,36.35,3.6,4.83
0.002,4.309,5.303,9.612,40.81,3.78,5.15
0.00225,4.123,4.828,8.951,46.62,4.02,5.56
0.0025,3.954,4.437,8.391,52.69,4.27,5.98
0.00275,3.8,4.109,7.909,59.03,4.52,6.42
0.003,3.66,3.83,7.49,65.62,4.78,6.86
0.00325,3.531,3.589,7.12,72.47,5.04,7.32
0.0035,3.413,3.378,6.791,79.56,5.31,7.79
0.00375,3.304,3.193,6.497,86.89,5.58,8.27
0.004,3.204,3.029,6.2330000000000005,94.47,5.86,8.77
0.0045,3.025,2.749,5.774,110.31,6.61,9.79
0.005,2.87,2.52,5.390000000000001,127.07,7.37,10.86
0.0055,2.733,2.329,5.062,144.7,8.13,11.97
0.006,2.612,2.166,4.7780000000000005,163.2,8.9,13.13
0.0065,2.505,2.026,4.531,182.52,9.68,14.33
0.007,2.408,1.905,4.313,202.66,10.47,15.56
0.008,2.24,1.703,3.9430000000000005,245.28,12.78,18.15
0.009,2.112,1.542,3.654,290.8,15.03,20.87
0.01,1.989,1.411,3.4000000000000004,339.13,17.24,23.72
