Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop
0.001,27.39,11.95,39.34
0.0015,33.96,12.75,46.71
0.002,39.55,13.17,52.72
0.0025,44.52,13.39,57.91
0.003,49.04,13.5,62.54
0.004,57.11,13.53,70.64
0.005,64.28,13.42,77.7
0.006,70.8,13.24,84.04
0.007,76.82,13.04,89.86
0.008,82.45,12.82,95.27
0.009,87.76,12.6,100.4
0.01,92.79,12.38,105.2
0.0125,104.4,11.84,116.3
0.015,115.0,11.34,126.3
0.0175,124.8,10.89,135.7
0.02,133.9,10.47,144.4
0.0225,142.5,10.09,152.6
0.025,150.6,9.744,160.4
0.0275,158.4,9.423,167.8
0.03,165.8,9.126,175.0
0.035,179.8,8.595,188.4
0.04,192.9,8.133,201.0
0.045,205.2,7.726,212.9
0.05,216.8,7.365,224.2
0.055,227.8,7.042,234.9
0.06,238.4,6.751,245.1
0.065,248.4,6.486,254.9
0.07,258.1,6.245,264.4
0.075,267.4,6.024,273.5
0.08,276.4,5.821,282.3
0.085,285.1,5.633,290.7
0.09,293.5,5.458,299.0
0.095,301.6,5.296,306.9
0.1,309.5,5.144,314.7
0.125,345.7,4.515,350.2
0.15,377.3,4.039,381.3
0.175,405.3,3.664,408.9
0.2,430.1,3.36,433.4
0.225,452.1,3.108,455.2
0.25,471.8,2.895,474.7
0.275,489.3,2.712,492.0
0.3,504.8,2.554,507.3
0.35,530.7,2.291,533.0
0.4,550.9,2.082,553.0
0.45,566.3,1.912,568.2
0.5,577.9,1.77,579.6
0.55,586.3,1.649,588.0
0.6,592.2,1.545,593.8
0.65,596.1,1.455,597.6
0.7,598.4,1.375,599.7
0.75,599.3,1.305,600.6
0.8,599.1,1.242,600.4
0.85,598.1,1.185,599.3
0.9,596.4,1.134,597.6
0.95,594.2,1.088,595.3
1.0,591.5,1.045,592.5
1.25,573.8,0.8769,574.6
1.5,552.8,0.7585,553.6
1.75,531.2,0.6703,531.9
2.0,510.1,0.6017,510.7
2.25,488.3,0.5467,488.9
2.5,467.0,0.5016,467.5
2.75,447.0,0.4639,447.5
3.0,428.6,0.4318,429.0
3.5,396.3,0.3801,396.7
4.0,369.4,0.3401,369.7
4.5,346.8,0.3082,347.1
5.0,327.7,0.2821,328.0
5.5,311.4,0.2604,311.7
6.0,297.1,0.2419,297.3
6.5,284.0,0.2261,284.2
7.0,271.9,0.2123,272.1
7.5,260.8,0.2002,261.0
8.0,250.6,0.1895,250.8
8.5,241.7,0.18,241.9
9.0,233.6,0.1714,233.7
9.5,226.0,0.1636,226.2
10.0,218.9,0.1566,219.1
12.5,190.5,0.1293,190.7
15.0,169.8,0.1104,169.9
17.5,153.8,0.09663,153.9
20.0,141.0,0.08603,141.1
25.0,121.7,0.07081,121.7
27.5,114.1,0.06514,114.1
30.0,107.5,0.06035,107.6
35.0,96.69,0.0527,96.74
40.0,88.12,0.04685,88.16
45.0,81.13,0.04221,81.17
50.0,75.3,0.03845,75.34
55.0,70.36,0.03533,70.4
60.0,66.11,0.0327,66.15
65.0,62.42,0.03045,62.45
70.0,59.16,0.02851,59.19
75.0,56.28,0.02681,56.31
80.0,53.7,0.0253,53.72
85.0,51.38,0.02397,51.4
90.0,49.27,0.02277,49.3
95.0,47.36,0.02169,47.38
100.0,45.61,0.02072,45.63
125.0,38.7,0.01694,38.71
150.0,33.82,0.01437,33.83
175.0,30.18,0.0125,30.19
200.0,27.35,0.01107,27.36
225.0,25.08,0.009937,25.09
250.0,23.22,0.009023,23.23
275.0,21.66,0.008268,21.67
300.0,20.34,0.007632,20.35
350.0,18.22,0.006621,18.22
400.0,16.58,0.005851,16.59
450.0,15.28,0.005244,15.28
500.0,14.22,0.004753,14.22
550.0,13.33,0.004347,13.34
600.0,12.59,0.004006,12.59
650.0,11.95,0.003716,11.96
700.0,11.4,0.003466,11.4
750.0,10.92,0.003248,10.92
800.0,10.49,0.003056,10.5
850.0,10.12,0.002886,10.12
900.0,9.778,0.002733,9.781
950.0,9.475,0.002596,9.477
1000.0,9.201,0.002472,9.203
