Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.07,2.594,6.081,8.675,2.19,1.15,1.01
0.08,2.78,5.652,8.432,2.46,1.21,1.08
0.09,2.953,5.288,8.241,2.72,1.27,1.15
0.1,3.115,4.974,8.089,2.97,1.32,1.21
0.11,3.267,4.701,7.968,3.21,1.36,1.26
0.12,3.409,4.461,7.87,3.45,1.4,1.32
0.13,3.544,4.247,7.791,3.68,1.44,1.36
0.14,3.671,4.056,7.727,3.91,1.48,1.41
0.15,3.791,3.883,7.6739999999999995,4.13,1.51,1.45
0.16,3.905,3.727,7.632,4.35,1.54,1.5
0.17,4.013,3.584,7.5969999999999995,4.56,1.57,1.53
0.18,4.116,3.454,7.57,4.77,1.59,1.57
0.2,4.306,3.223,7.529,5.18,1.64,1.64
0.225,4.519,2.979,7.498,5.68,1.69,1.72
0.25,4.708,2.773,7.481,6.16,1.74,1.8
0.275,4.876,2.598,7.474,6.63,1.78,1.86
0.3,5.024,2.445,7.468999999999999,7.09,1.82,1.93
0.325,5.157,2.312,7.468999999999999,7.54,1.86,1.98
0.35,5.274,2.194,7.468,7.98,1.89,2.04
0.375,5.378,2.089,7.4670000000000005,8.41,1.92,2.09
0.4,5.471,1.994,7.465,8.84,1.95,2.14
0.45,5.624,1.831,7.455,9.68,2.0,2.24
0.5,5.742,1.695,7.437,10.51,2.05,2.32
0.55,5.831,1.58,7.4110000000000005,11.33,2.1,2.4
0.6,5.897,1.481,7.378,12.14,2.14,2.48
0.65,5.942,1.395,7.337,12.95,2.17,2.56
0.7,5.971,1.319,7.29,13.75,2.21,2.63
0.8,5.99,1.192,7.182,15.36,2.28,2.76
0.9,5.97,1.089,7.058999999999999,16.98,2.35,2.89
0.001,5.924,1.004,6.928000000000001,18.61,2.42,3.02
0.0011,5.86,9.326,15.186,20.26,2.48,3.14
0.0012,5.783,8.713,14.495999999999999,21.93,2.54,3.26
0.0013,5.698,8.182,13.88,23.63,2.6,3.37
0.0014,5.607,7.718,13.325,25.36,2.66,3.49
0.0015,5.514,7.308,12.822,27.12,2.71,3.6
0.0016,5.42,6.943,12.363,28.91,2.77,3.72
0.0017,5.326,6.616,11.942,30.74,2.83,3.83
0.0018,5.232,6.32,11.552,32.6,2.88,3.95
0.002,5.049,5.808,10.857,36.42,3.02,4.19
0.00225,4.832,5.281,10.113,41.41,3.21,4.48
0.0025,4.63,4.849,9.479,46.62,3.4,4.79
0.00275,4.442,4.487,8.929,52.05,3.6,5.1
0.003,4.269,4.179,8.448,57.72,3.79,5.43
0.00325,4.109,3.913,8.022,63.62,4.0,5.76
0.0035,3.962,3.682,7.644,69.74,4.21,6.1
0.00375,3.825,3.478,7.303000000000001,76.09,4.42,6.46
0.004,3.699,3.297,6.996,82.66,4.63,6.82
0.0045,3.472,2.991,6.463,96.48,5.26,7.58
0.005,3.275,2.739,6.013999999999999,111.16,5.89,8.37
0.0055,3.102,2.53,5.632,126.71,6.53,9.21
0.006,2.949,2.352,5.301,143.09,7.18,10.09
0.0065,2.812,2.199,5.010999999999999,160.31,7.84,11.0
0.007,2.69,2.066,4.756,178.34,8.5,11.96
0.008,2.48,1.845,4.325,216.75,10.58,13.97
0.009,2.33,1.67,4.0,258.04,12.58,16.12
0.01,2.187,1.527,3.7139999999999995,302.02,14.54,18.38
