Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.14,5.404,4.796,10.2,3.17,1.03,1.01
0.15,5.606,4.582,10.187999999999999,3.33,1.04,1.04
0.16,5.798,4.389,10.187000000000001,3.48,1.06,1.06
0.17,5.979,4.214,10.193000000000001,3.64,1.07,1.08
0.18,6.15,4.054,10.204,3.78,1.08,1.1
0.2,6.465,3.771,10.236,4.07,1.11,1.14
0.225,6.812,3.475,10.287,4.42,1.13,1.18
0.25,7.112,3.227,10.339,4.75,1.15,1.22
0.275,7.372,3.015,10.387,5.07,1.17,1.25
0.3,7.595,2.833,10.428,5.38,1.19,1.29
0.325,7.785,2.673,10.458,5.69,1.21,1.32
0.35,7.947,2.533,10.48,5.99,1.22,1.34
0.375,8.084,2.408,10.491999999999999,6.29,1.24,1.37
0.4,8.197,2.296,10.492999999999999,6.58,1.25,1.39
0.45,8.366,2.103,10.469,7.16,1.27,1.44
0.5,8.471,1.943,10.414,7.73,1.3,1.48
0.55,8.525,1.808,10.333,8.3,1.32,1.52
0.6,8.541,1.692,10.233,8.87,1.34,1.56
0.65,8.525,1.592,10.117,9.44,1.35,1.6
0.7,8.485,1.503,9.988,10.01,1.37,1.64
0.8,8.354,1.355,9.709,11.17,1.41,1.71
0.9,8.178,1.236,9.414000000000001,12.36,1.45,1.78
0.001,7.979,1.138,9.117,13.57,1.48,1.84
0.0011,7.769,1.055,8.824,14.82,1.52,1.91
0.0012,7.556,9.85,17.406,16.1,1.55,1.98
0.0013,7.344,9.24,16.584,17.43,1.59,2.05
0.0014,7.138,8.708,15.846,18.79,1.62,2.11
0.0015,6.94,8.238,15.178,20.19,1.66,2.18
0.0016,6.749,7.82,14.568999999999999,21.63,1.7,2.26
0.0017,6.567,7.446,14.013,23.12,1.74,2.33
0.0018,6.393,7.109,13.501999999999999,24.64,1.78,2.4
0.002,6.072,6.525,12.597000000000001,27.82,1.88,2.55
0.00225,5.715,5.926,11.641,32.02,2.04,2.76
0.0025,5.403,5.435,10.838,36.47,2.2,2.97
0.00275,5.129,5.024,10.152999999999999,41.18,2.37,3.19
0.003,4.887,4.675,9.562,46.13,2.54,3.43
0.00325,4.673,4.375,9.048,51.32,2.72,3.67
0.0035,4.482,4.114,8.596,56.74,2.9,3.93
0.00375,4.312,3.884,8.196,62.38,3.08,4.19
0.004,4.159,3.68,7.839,68.24,3.27,4.47
0.0045,3.897,3.334,7.231,80.57,3.86,5.05
0.005,3.681,3.051,6.732,93.69,4.44,5.66
0.0055,3.501,2.815,6.316,107.52,5.01,6.3
0.006,3.347,2.615,5.962,122.04,5.57,6.97
0.0065,3.216,2.444,5.66,137.18,6.14,7.67
0.007,3.102,2.295,5.397,152.92,6.7,8.38
0.008,2.914,2.048,4.962,186.0,8.47,9.87
0.009,2.718,1.852,4.57,221.35,10.14,11.43
0.01,2.535,1.692,4.227,259.26,11.79,13.08
