Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.06,2.24,6.929,9.169,2.0,1.17,1.01
0.065,2.345,6.642,8.987,2.15,1.21,1.05
0.07,2.446,6.382,8.828,2.29,1.25,1.09
0.08,2.637,5.927,8.564,2.57,1.32,1.17
0.09,2.815,5.541,8.356,2.84,1.38,1.24
0.1,2.982,5.21,8.192,3.1,1.43,1.3
0.11,3.139,4.921,8.06,3.35,1.48,1.36
0.12,3.286,4.667,7.952999999999999,3.59,1.52,1.41
0.13,3.426,4.442,7.868,3.83,1.56,1.46
0.14,3.558,4.24,7.798,4.07,1.6,1.51
0.15,3.683,4.058,7.741,4.29,1.63,1.56
0.16,3.802,3.894,7.696,4.52,1.66,1.6
0.17,3.915,3.744,7.659000000000001,4.73,1.69,1.64
0.18,4.022,3.606,7.628,4.95,1.71,1.68
0.2,4.221,3.363,7.584,5.37,1.76,1.75
0.225,4.443,3.107,7.55,5.87,1.82,1.83
0.25,4.641,2.892,7.5329999999999995,6.36,1.86,1.9
0.275,4.815,2.708,7.523000000000001,6.83,1.91,1.97
0.3,4.97,2.548,7.518,7.3,1.95,2.03
0.325,5.108,2.408,7.516,7.75,1.98,2.09
0.35,5.23,2.285,7.515000000000001,8.19,2.01,2.15
0.375,5.338,2.175,7.513,8.63,2.04,2.2
0.4,5.434,2.076,7.51,9.06,2.07,2.25
0.45,5.592,1.906,7.497999999999999,9.91,2.12,2.34
0.5,5.714,1.764,7.478000000000001,10.74,2.17,2.43
0.55,5.806,1.643,7.449,11.56,2.21,2.51
0.6,5.872,1.54,7.412,12.38,2.25,2.59
0.65,5.919,1.45,7.369,13.19,2.29,2.66
0.7,5.949,1.371,7.32,13.99,2.33,2.73
0.8,5.969,1.239,7.208,15.61,2.4,2.86
0.9,5.951,1.131,7.082,17.23,2.46,2.99
0.001,5.907,1.043,6.95,18.86,2.53,3.11
0.0011,5.845,9.683,15.527999999999999,20.52,2.59,3.23
0.0012,5.77,9.045,14.815,22.2,2.64,3.35
0.0013,5.688,8.493,14.181000000000001,23.9,2.7,3.46
0.0014,5.601,8.01,13.611,25.63,2.76,3.57
0.0015,5.511,7.583,13.094000000000001,27.39,2.81,3.69
0.0016,5.421,7.203,12.624,29.19,2.87,3.8
0.0017,5.33,6.863,12.193000000000001,31.01,2.92,3.91
0.0018,5.24,6.556,11.796,32.87,2.98,4.03
0.002,5.065,6.023,11.088000000000001,36.69,3.11,4.26
0.00225,4.857,5.476,10.333,41.65,3.29,4.55
0.0025,4.664,5.027,9.690999999999999,46.83,3.47,4.85
0.00275,4.484,4.651,9.135,52.22,3.66,5.15
0.003,4.319,4.331,8.65,57.83,3.85,5.46
0.00325,4.166,4.055,8.221,63.65,4.05,5.79
0.0035,4.025,3.815,7.84,69.69,4.25,6.12
0.00375,3.894,3.604,7.498,75.93,4.45,6.45
0.004,3.772,3.416,7.188,82.39,4.65,6.8
0.0045,3.554,3.098,6.651999999999999,95.91,5.25,7.53
0.005,3.364,2.837,6.2010000000000005,110.23,5.85,8.29
0.0055,3.196,2.62,5.816000000000001,125.35,6.46,9.08
0.006,3.048,2.435,5.4830000000000005,141.23,7.07,9.91
0.0065,2.915,2.276,5.191,157.86,7.69,10.77
0.007,2.796,2.138,4.933999999999999,175.23,8.32,11.66
0.008,2.59,1.91,4.5,212.11,10.27,13.54
0.009,2.435,1.728,4.163,251.65,12.15,15.53
0.01,2.285,1.58,3.865,293.76,14.0,17.62
