Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.04,1.249,5.727,6.976000000000001,1.56,1.29,1.03
0.045,1.319,5.474,6.793,1.75,1.38,1.11
0.05,1.386,5.245,6.631,1.94,1.46,1.19
0.055,1.449,5.038,6.487,2.13,1.54,1.27
0.06,1.509,4.85,6.359,2.32,1.62,1.34
0.065,1.566,4.677,6.242999999999999,2.51,1.69,1.41
0.07,1.62,4.518,6.138,2.69,1.76,1.48
0.08,1.723,4.236,5.959,3.05,1.89,1.61
0.09,1.819,3.992,5.811,3.41,2.0,1.73
0.1,1.909,3.779,5.688,3.77,2.11,1.84
0.11,1.994,3.591,5.585,4.11,2.21,1.95
0.12,2.074,3.424,5.497999999999999,4.46,2.3,2.05
0.13,2.15,3.274,5.4239999999999995,4.79,2.38,2.14
0.14,2.222,3.138,5.359999999999999,5.12,2.46,2.23
0.15,2.291,3.015,5.306,5.45,2.54,2.32
0.16,2.356,2.903,5.259,5.77,2.61,2.41
0.17,2.419,2.8,5.218999999999999,6.09,2.67,2.49
0.18,2.48,2.705,5.1850000000000005,6.41,2.74,2.56
0.2,2.594,2.536,5.13,7.03,2.85,2.71
0.225,2.724,2.356,5.08,7.78,2.98,2.88
0.25,2.842,2.203,5.045,8.51,3.1,3.03
0.275,2.95,2.072,5.022,9.23,3.21,3.18
0.3,3.049,1.957,5.006,9.93,3.31,3.31
0.325,3.139,1.855,4.994,10.62,3.4,3.44
0.35,3.221,1.765,4.986,11.3,3.48,3.56
0.375,3.297,1.685,4.982,11.97,3.56,3.68
0.4,3.365,1.612,4.977,12.63,3.63,3.79
0.45,3.485,1.486,4.971,13.92,3.76,4.0
0.5,3.583,1.38,4.963,15.19,3.89,4.19
0.55,3.662,1.29,4.952,16.45,4.0,4.37
0.6,3.725,1.212,4.937,17.68,4.1,4.54
0.65,3.775,1.144,4.919,18.91,4.19,4.7
0.7,3.813,1.084,4.897,20.13,4.28,4.86
0.8,3.858,9.831,13.689,22.56,4.46,5.15
0.9,3.873,9.009,12.882000000000001,24.98,4.62,5.43
0.001,3.866,8.326,12.192,27.42,4.76,5.7
0.0011,3.845,7.749,11.594,29.89,4.9,5.96
0.0012,3.812,7.254,11.065999999999999,32.37,5.04,6.22
0.0013,3.773,6.824,10.597,34.89,5.17,6.46
0.0014,3.73,6.446,10.176,37.45,5.3,6.71
0.0015,3.684,6.112,9.796,40.04,5.42,6.95
0.0016,3.637,5.814,9.451,42.67,5.54,7.2
0.0017,3.589,5.546,9.135,45.34,5.66,7.44
0.0018,3.542,5.304,8.846,48.05,5.78,7.68
0.002,3.448,4.883,8.331,53.59,6.04,8.16
0.00225,3.336,4.45,7.786,60.75,6.38,8.77
0.0025,3.23,4.093,7.323,68.16,6.72,9.38
0.00275,3.131,3.793,6.9239999999999995,75.82,7.05,9.99
0.003,3.039,3.537,6.5760000000000005,83.73,7.39,10.62
0.00325,2.951,3.316,6.2669999999999995,91.89,7.73,11.26
0.0035,2.869,3.124,5.993,100.3,8.07,11.9
0.00375,2.792,2.954,5.746,108.95,8.42,12.56
0.004,2.719,2.803,5.522,117.85,8.77,13.22
0.0045,2.585,2.546,5.131,136.36,9.65,14.59
0.005,2.465,2.335,4.8,155.82,10.54,16.01
0.0055,2.356,2.159,4.515,176.23,11.44,17.47
0.006,2.256,2.009,4.265,197.58,12.36,18.98
0.0065,2.166,1.88,4.045999999999999,219.85,13.29,20.54
0.007,2.083,1.768,3.851,243.05,14.23,22.15
0.008,1.936,1.582,3.518,292.16,16.88,25.52
0.009,1.829,1.433,3.262,344.61,19.49,29.06
0.01,1.727,1.312,3.039,400.18,22.09,32.76
