Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.045,1.559,6.082,7.641,1.68,1.26,1.03
0.05,1.68,5.814,7.494,1.85,1.33,1.09
0.055,1.798,5.572,7.37,2.01,1.39,1.15
0.06,1.913,5.353,7.266,2.17,1.45,1.21
0.065,2.026,5.153,7.178999999999999,2.33,1.5,1.26
0.07,2.135,4.97,7.1049999999999995,2.48,1.55,1.31
0.08,2.344,4.647,6.991,2.77,1.63,1.4
0.09,2.54,4.369,6.909,3.05,1.71,1.48
0.1,2.725,4.127,6.852,3.32,1.77,1.55
0.11,2.9,3.915,6.8149999999999995,3.58,1.83,1.62
0.12,3.064,3.727,6.791,3.83,1.88,1.68
0.13,3.219,3.559,6.7780000000000005,4.07,1.93,1.74
0.14,3.364,3.407,6.771,4.31,1.97,1.79
0.15,3.502,3.27,6.772,4.54,2.01,1.84
0.16,3.631,3.145,6.776,4.76,2.05,1.89
0.17,3.752,3.031,6.7829999999999995,4.98,2.08,1.93
0.18,3.866,2.925,6.791,5.2,2.11,1.97
0.2,4.073,2.738,6.811,5.62,2.17,2.05
0.225,4.298,2.54,6.838,6.13,2.23,2.14
0.25,4.49,2.372,6.862,6.62,2.28,2.22
0.275,4.652,2.227,6.879,7.1,2.33,2.29
0.3,4.788,2.101,6.889,7.57,2.38,2.36
0.325,4.903,1.99,6.893,8.03,2.42,2.42
0.35,4.998,1.892,6.890000000000001,8.49,2.45,2.49
0.375,5.077,1.804,6.881,8.94,2.49,2.54
0.4,5.141,1.725,6.866,9.39,2.52,2.6
0.45,5.234,1.588,6.822,10.27,2.59,2.71
0.5,5.289,1.474,6.763,11.16,2.64,2.81
0.55,5.316,1.376,6.692,12.04,2.69,2.9
0.6,5.322,1.292,6.614,12.92,2.74,2.99
0.65,5.311,1.219,6.53,13.81,2.79,3.08
0.7,5.288,1.154,6.442,14.71,2.84,3.17
0.8,5.218,1.045,6.263,16.52,2.93,3.34
0.9,5.127,9.57,14.697,18.37,3.02,3.5
0.001,5.026,8.838,13.863999999999999,20.27,3.1,3.67
0.0011,4.922,8.219,13.140999999999998,22.21,3.19,3.83
0.0012,4.816,7.689,12.504999999999999,24.19,3.27,3.99
0.0013,4.712,7.229,11.940999999999999,26.23,3.35,4.16
0.0014,4.61,6.826,11.436,28.31,3.43,4.32
0.0015,4.512,6.469,10.981,30.44,3.51,4.49
0.0016,4.418,6.151,10.568999999999999,32.62,3.6,4.66
0.0017,4.328,5.866,10.193999999999999,34.85,3.68,4.83
0.0018,4.241,5.608,9.849,37.13,3.76,5.0
0.002,4.08,5.16,9.24,41.83,3.96,5.35
0.00225,3.897,4.698,8.595,47.96,4.22,5.8
0.0025,3.734,4.319,8.053,54.38,4.5,6.27
0.00275,3.588,4.001,7.589,61.09,4.77,6.75
0.003,3.455,3.729,7.184,68.06,5.06,7.24
0.00325,3.335,3.495,6.83,75.3,5.34,7.75
0.0035,3.226,3.291,6.5169999999999995,82.8,5.64,8.27
0.00375,3.125,3.111,6.236000000000001,90.55,5.93,8.81
0.004,3.033,2.951,5.984,98.54,6.24,9.35
0.0045,2.869,2.679,5.548,115.25,7.05,10.49
0.005,2.727,2.456,5.183,132.88,7.87,11.67
0.0055,2.603,2.27,4.873,151.4,8.69,12.9
0.006,2.493,2.112,4.605,170.78,9.51,14.16
0.0065,2.395,1.976,4.371,191.0,10.35,15.47
0.007,2.308,1.857,4.165,212.01,11.18,16.82
0.008,2.155,1.661,3.816,256.36,13.61,19.63
0.009,2.026,1.504,3.53,303.71,15.96,22.58
0.01,1.904,1.376,3.28,354.13,18.3,25.67
