Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.11,4.265,5.56,9.825,2.75,1.07,1.01
0.12,4.466,5.266,9.732,2.94,1.1,1.05
0.13,4.655,5.007,9.661999999999999,3.13,1.13,1.08
0.14,4.832,4.775,9.607,3.31,1.15,1.11
0.15,5.0,4.566,9.565999999999999,3.48,1.17,1.14
0.16,5.158,4.378,9.536000000000001,3.65,1.19,1.17
0.17,5.307,4.206,9.513000000000002,3.82,1.2,1.2
0.18,5.447,4.049,9.496,3.99,1.22,1.22
0.2,5.705,3.772,9.477,4.3,1.25,1.27
0.225,5.989,3.48,9.469,4.69,1.28,1.32
0.25,6.235,3.235,9.47,5.06,1.31,1.37
0.275,6.448,3.026,9.474,5.43,1.34,1.41
0.3,6.632,2.846,9.478,5.78,1.36,1.45
0.325,6.791,2.688,9.479000000000001,6.13,1.38,1.49
0.35,6.927,2.548,9.475,6.47,1.4,1.53
0.375,7.043,2.424,9.467,6.81,1.42,1.56
0.4,7.142,2.312,9.454,7.14,1.44,1.59
0.45,7.295,2.121,9.416,7.8,1.47,1.65
0.5,7.398,1.961,9.359,8.45,1.5,1.71
0.55,7.463,1.826,9.289,9.09,1.53,1.76
0.6,7.496,1.71,9.206,9.74,1.56,1.82
0.65,7.505,1.609,9.114,10.38,1.58,1.86
0.7,7.495,1.521,9.016,11.03,1.6,1.91
0.8,7.431,1.373,8.804,12.33,1.65,2.0
0.9,7.328,1.253,8.581,13.65,1.7,2.09
0.001,7.202,1.154,8.356,14.99,1.74,2.18
0.0011,7.062,1.071,8.133000000000001,16.37,1.79,2.26
0.0012,6.916,1.0,7.916,17.77,1.83,2.35
0.0013,6.767,9.387,16.154,19.2,1.88,2.43
0.0014,6.619,8.849,15.468,20.67,1.92,2.52
0.0015,6.473,8.375,14.847999999999999,22.17,1.96,2.6
0.0016,6.33,7.953,14.283000000000001,23.71,2.01,2.69
0.0017,6.192,7.575,13.767,25.29,2.05,2.78
0.0018,6.058,7.234,13.292,26.9,2.09,2.86
0.002,5.805,6.643,12.448,30.22,2.21,3.04
0.00225,5.516,6.037,11.553,34.59,2.37,3.28
0.0025,5.255,5.539,10.794,39.18,2.54,3.52
0.00275,5.019,5.123,10.142,43.99,2.71,3.77
0.003,4.805,4.769,9.574,49.03,2.89,4.03
0.00325,4.611,4.464,9.075,54.29,3.07,4.3
0.0035,4.434,4.198,8.632000000000001,59.77,3.25,4.58
0.00375,4.273,3.965,8.238,65.46,3.44,4.86
0.004,4.124,3.758,7.882,71.36,3.63,5.16
0.0045,3.861,3.406,7.267,83.79,4.21,5.79
0.005,3.635,3.118,6.753,97.03,4.79,6.45
0.0055,3.438,2.878,6.316000000000001,111.07,5.37,7.14
0.006,3.265,2.675,5.9399999999999995,125.89,5.95,7.87
0.0065,3.112,2.5,5.612,141.46,6.54,8.63
0.007,2.976,2.348,5.324,157.78,7.14,9.43
0.008,2.742,2.096,4.838,192.56,9.04,11.11
0.009,2.578,1.896,4.474,229.94,10.85,12.9
0.01,2.419,1.733,4.152,269.75,12.61,14.78
