Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.06,2.327,6.046,8.373000000000001,2.03,1.22,1.04
0.065,2.456,5.802,8.258,2.17,1.26,1.08
0.07,2.58,5.579,8.158999999999999,2.31,1.29,1.12
0.08,2.818,5.19,8.008000000000001,2.57,1.36,1.19
0.09,3.04,4.859,7.899,2.82,1.41,1.25
0.1,3.247,4.574,7.821,3.06,1.46,1.31
0.11,3.441,4.325,7.766,3.29,1.5,1.36
0.12,3.621,4.106,7.727,3.52,1.54,1.41
0.13,3.789,3.911,7.7,3.74,1.57,1.45
0.14,3.944,3.736,7.68,3.95,1.6,1.49
0.15,4.088,3.578,7.666,4.15,1.63,1.53
0.16,4.222,3.435,7.657,4.36,1.66,1.57
0.17,4.345,3.304,7.648999999999999,4.55,1.68,1.6
0.18,4.459,3.185,7.644,4.75,1.7,1.64
0.2,4.664,2.973,7.637,5.13,1.74,1.7
0.225,4.881,2.749,7.630000000000001,5.59,1.79,1.77
0.25,5.063,2.561,7.624,6.04,1.83,1.83
0.275,5.217,2.399,7.616,6.48,1.87,1.89
0.3,5.348,2.259,7.606999999999999,6.91,1.9,1.94
0.325,5.459,2.137,7.596,7.33,1.93,1.99
0.35,5.555,2.028,7.583,7.75,1.96,2.04
0.375,5.638,1.931,7.569,8.17,1.98,2.09
0.4,5.708,1.844,7.5520000000000005,8.58,2.01,2.14
0.45,5.819,1.694,7.513,9.39,2.06,2.22
0.5,5.897,1.569,7.466,10.2,2.1,2.3
0.55,5.95,1.463,7.413,11.0,2.14,2.38
0.6,5.982,1.371,7.353,11.8,2.18,2.45
0.65,5.996,1.292,7.288,12.59,2.21,2.52
0.7,5.997,1.222,7.218999999999999,13.4,2.25,2.59
0.8,5.967,1.105,7.071999999999999,15.01,2.31,2.72
0.9,5.907,1.01,6.917,16.64,2.38,2.84
0.001,5.828,9.309,15.137,18.29,2.44,2.96
0.0011,5.737,8.647,14.384,19.97,2.5,3.09
0.0012,5.638,8.08,13.718,21.69,2.56,3.21
0.0013,5.535,7.589,13.124,23.43,2.62,3.32
0.0014,5.431,7.16,12.591000000000001,25.22,2.68,3.44
0.0015,5.327,6.78,12.107,27.04,2.74,3.56
0.0016,5.225,6.442,11.667,28.89,2.8,3.68
0.0017,5.124,6.139,11.263,30.79,2.86,3.8
0.0018,5.026,5.866,10.892,32.72,2.92,3.93
0.002,4.837,5.391,10.228,36.71,3.06,4.17
0.00225,4.619,4.903,9.521999999999998,41.92,3.26,4.49
0.0025,4.418,4.503,8.921,47.37,3.47,4.82
0.00275,4.235,4.167,8.402000000000001,53.07,3.67,5.16
0.003,4.068,3.882,7.949999999999999,59.02,3.89,5.51
0.00325,3.915,3.635,7.55,65.2,4.11,5.87
0.0035,3.774,3.421,7.195,71.63,4.33,6.24
0.00375,3.644,3.232,6.876,78.29,4.56,6.62
0.004,3.524,3.064,6.588,85.19,4.79,7.01
0.0045,3.31,2.779,6.089,99.68,5.46,7.83
0.005,3.124,2.546,5.67,115.08,6.13,8.69
0.0055,2.962,2.351,5.313000000000001,131.36,6.81,9.6
0.006,2.818,2.186,5.004,148.51,7.5,10.54
0.0065,2.69,2.044,4.734,166.51,8.2,11.53
0.007,2.575,1.921,4.496,185.34,8.9,12.56
0.008,2.378,1.716,4.094,225.43,11.08,14.72
0.009,2.237,1.553,3.79,268.46,13.18,17.02
0.01,2.101,1.42,3.521,314.25,15.23,19.43
