Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.0325,1.047,4.832,5.879,1.34,1.32,1.02
0.035,1.093,4.728,5.821,1.44,1.37,1.07
0.0375,1.137,4.629,5.766,1.54,1.43,1.12
0.04,1.181,4.535,5.716,1.63,1.48,1.16
0.045,1.264,4.358,5.622,1.82,1.57,1.25
0.05,1.344,4.196,5.54,2.01,1.66,1.33
0.055,1.421,4.047,5.468,2.2,1.75,1.41
0.06,1.495,3.91,5.405,2.38,1.82,1.48
0.065,1.567,3.784,5.351,2.56,1.9,1.55
0.07,1.636,3.666,5.302,2.73,1.96,1.61
0.08,1.769,3.456,5.225,3.08,2.09,1.74
0.09,1.894,3.272,5.1659999999999995,3.42,2.2,1.85
0.1,2.013,3.109,5.122,3.75,2.3,1.95
0.11,2.125,2.965,5.09,4.07,2.39,2.05
0.12,2.233,2.835,5.068,4.38,2.48,2.14
0.13,2.335,2.718,5.053,4.69,2.55,2.23
0.14,2.433,2.612,5.045,4.99,2.62,2.31
0.15,2.527,2.516,5.043,5.29,2.69,2.39
0.16,2.617,2.427,5.0440000000000005,5.57,2.75,2.46
0.17,2.703,2.345,5.048,5.86,2.81,2.53
0.18,2.785,2.27,5.055,6.14,2.87,2.6
0.2,2.94,2.134,5.074,6.68,2.97,2.72
0.225,3.116,1.989,5.105,7.34,3.08,2.86
0.25,3.273,1.865,5.138,7.98,3.18,2.99
0.275,3.415,1.758,5.173,8.6,3.27,3.11
0.3,3.541,1.664,5.205,9.21,3.35,3.22
0.325,3.654,1.581,5.234999999999999,9.8,3.42,3.33
0.35,3.755,1.507,5.262,10.38,3.49,3.43
0.375,3.844,1.44,5.284,10.96,3.55,3.52
0.4,3.923,1.38,5.303,11.52,3.61,3.61
0.45,4.053,1.275,5.327999999999999,12.63,3.72,3.78
0.5,4.151,1.187,5.338,13.73,3.82,3.94
0.55,4.223,1.111,5.334,14.81,3.91,4.09
0.6,4.274,1.046,5.32,15.89,4.0,4.23
0.65,4.307,9.886,14.193,16.96,4.07,4.36
0.7,4.325,9.38,13.705000000000002,18.04,4.15,4.49
0.8,4.329,8.524,12.852999999999998,20.19,4.29,4.75
0.9,4.3,7.825,12.125,22.37,4.43,4.99
0.001,4.25,7.244,11.494,24.58,4.56,5.22
0.0011,4.187,6.751,10.938,26.83,4.68,5.46
0.0012,4.117,6.327,10.443999999999999,29.12,4.8,5.68
0.0013,4.041,5.958,9.999,31.47,4.92,5.91
0.0014,3.963,5.634,9.597000000000001,33.86,5.04,6.14
0.0015,3.885,5.346,9.231,36.31,5.16,6.37
0.0016,3.808,5.09,8.898,38.81,5.28,6.6
0.0017,3.732,4.859,8.591000000000001,41.37,5.39,6.84
0.0018,3.658,4.65,8.308,43.98,5.51,7.07
0.002,3.516,4.286,7.802,49.38,5.77,7.55
0.00225,3.352,3.911,7.263,56.44,6.11,8.17
0.0025,3.203,3.601,6.804,63.86,6.47,8.81
0.00275,3.068,3.34,6.4079999999999995,71.62,6.83,9.47
0.003,2.946,3.118,6.064,79.73,7.2,10.15
0.00325,2.834,2.925,5.759,88.17,7.58,10.86
0.0035,2.732,2.757,5.489000000000001,96.95,7.97,11.59
0.00375,2.639,2.609,5.247999999999999,106.05,8.37,12.34
0.004,2.553,2.477,5.029999999999999,115.47,8.78,13.11
0.0045,2.401,2.252,4.653,135.25,9.82,14.72
0.005,2.27,2.067,4.337,156.26,10.88,16.41
0.0055,2.155,1.913,4.068,178.44,11.97,18.19
0.006,2.055,1.781,3.8360000000000003,201.77,13.08,20.04
0.0065,1.966,1.668,3.634,226.21,14.21,21.96
0.007,1.886,1.569,3.455,251.74,15.36,23.95
0.008,1.749,1.405,3.154,305.92,18.52,28.15
0.009,1.656,1.274,2.9299999999999997,363.77,21.63,32.57
0.01,1.566,1.167,2.733,424.96,24.71,37.18
