Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.0017,8.957,9.293,18.25,17.75,1.0,1.35
0.0018,8.747,8.862,17.609,18.87,1.03,1.39
0.002,8.35,8.118,16.468,21.2,1.1,1.47
0.00225,7.897,7.357,15.254000000000001,24.26,1.21,1.57
0.0025,7.491,6.735,14.225999999999999,27.49,1.32,1.67
0.00275,7.124,6.216,13.34,30.9,1.44,1.78
0.003,6.794,5.776,12.57,34.48,1.55,1.9
0.00325,6.494,5.398,11.892,38.22,1.67,2.02
0.0035,6.222,5.07,11.292000000000002,42.14,1.79,2.14
0.00375,5.974,4.781,10.754999999999999,46.22,1.91,2.27
0.004,5.747,4.526,10.273,50.47,2.04,2.41
0.0045,5.346,4.093,9.439,59.46,2.46,2.7
0.005,5.004,3.741,8.745,69.1,2.88,3.0
0.0055,4.708,3.447,8.155000000000001,79.37,3.29,3.33
0.006,4.449,3.199,7.648,90.26,3.69,3.67
0.0065,4.22,2.986,7.2059999999999995,101.76,4.1,4.04
0.007,4.017,2.801,6.8180000000000005,113.87,4.52,4.42
0.008,3.672,2.496,6.168,139.83,5.95,5.23
0.009,3.414,2.254,5.668,168.0,7.29,6.11
0.01,3.172,2.057,5.229,198.31,8.59,7.05
