Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.0275,7.787,5.762,13.549,1.21,1.35,1.04
0.03,8.193,5.621,13.814,1.32,1.43,1.1
0.0325,8.585,5.488,14.073,1.42,1.5,1.16
0.035,8.965,5.361,14.326,1.53,1.57,1.21
0.0375,9.334,5.24,14.574,1.64,1.63,1.27
0.04,9.693,5.125,14.818,1.75,1.69,1.32
0.045,1.038,4.911,5.949,1.96,1.81,1.43
0.05,1.104,4.717,5.821,2.17,1.92,1.52
0.055,1.167,4.541,5.708,2.38,2.02,1.61
0.06,1.228,4.378,5.606,2.58,2.11,1.7
0.065,1.286,4.229,5.515000000000001,2.79,2.2,1.78
0.07,1.342,4.092,5.433999999999999,2.99,2.29,1.86
0.08,1.449,3.846,5.295,3.39,2.44,2.02
0.09,1.55,3.633,5.183,3.78,2.58,2.15
0.1,1.646,3.446,5.0920000000000005,4.17,2.71,2.28
0.11,1.737,3.28,5.0169999999999995,4.54,2.82,2.41
0.12,1.823,3.132,4.955,4.91,2.93,2.52
0.13,1.906,2.998,4.904,5.27,3.03,2.63
0.14,1.985,2.878,4.863,5.62,3.12,2.73
0.15,2.061,2.768,4.829,5.97,3.21,2.83
0.16,2.134,2.667,4.801,6.31,3.29,2.92
0.17,2.203,2.575,4.7780000000000005,6.65,3.36,3.01
0.18,2.27,2.49,4.76,6.98,3.43,3.09
0.2,2.397,2.338,4.734999999999999,7.63,3.56,3.25
0.225,2.543,2.175,4.718,8.42,3.71,3.43
0.25,2.675,2.037,4.712,9.18,3.84,3.6
0.275,2.797,1.917,4.714,9.92,3.95,3.75
0.3,2.908,1.813,4.721,10.64,4.06,3.9
0.325,3.009,1.721,4.73,11.35,4.15,4.03
0.35,3.102,1.638,4.74,12.04,4.24,4.16
0.375,3.186,1.565,4.7509999999999994,12.72,4.32,4.28
0.4,3.264,1.498,4.762,13.39,4.4,4.39
0.45,3.398,1.383,4.781000000000001,14.71,4.54,4.61
0.5,3.509,1.286,4.795,15.99,4.67,4.8
0.55,3.599,1.203,4.8020000000000005,17.25,4.78,4.99
0.6,3.672,1.131,4.803,18.5,4.89,5.16
0.65,3.729,1.068,4.797000000000001,19.73,4.98,5.33
0.7,3.773,1.013,4.786,20.95,5.08,5.49
0.8,3.828,9.194,13.022,23.39,5.25,5.79
0.9,3.848,8.433,12.280999999999999,25.82,5.41,6.07
0.001,3.843,7.8,11.643,28.26,5.56,6.34
0.0011,3.819,7.264,11.083,30.73,5.7,6.6
0.0012,3.782,6.803,10.585,33.22,5.83,6.86
0.0013,3.735,6.403,10.138,35.76,5.96,7.11
0.0014,3.682,6.052,9.734,38.33,6.09,7.36
0.0015,3.624,5.741,9.365,40.96,6.21,7.61
0.0016,3.564,5.463,9.027000000000001,43.63,6.34,7.86
0.0017,3.503,5.213,8.716000000000001,46.35,6.46,8.11
0.0018,3.441,4.987,8.428,49.12,6.58,8.36
0.002,3.32,4.594,7.914,54.84,6.85,8.86
0.00225,3.176,4.189,7.365,62.29,7.2,9.51
0.0025,3.044,3.855,6.899,70.1,7.56,10.17
0.00275,2.923,3.574,6.497,78.25,7.92,10.86
0.003,2.813,3.334,6.147,86.74,8.29,11.56
0.00325,2.714,3.127,5.840999999999999,95.57,8.67,12.28
0.0035,2.625,2.947,5.572,104.71,9.06,13.02
0.00375,2.544,2.787,5.3309999999999995,114.17,9.45,13.78
0.004,2.47,2.645,5.115,123.92,9.86,14.57
0.0045,2.342,2.404,4.746,144.27,10.87,16.18
0.005,2.235,2.206,4.441,165.7,11.89,17.86
0.0055,2.143,2.04,4.183,188.12,12.93,19.6
0.006,2.063,1.9,3.963,211.48,13.98,21.39
0.0065,1.993,1.778,3.771,235.71,15.04,23.24
0.007,1.931,1.672,3.6029999999999998,260.77,16.11,25.12
0.008,1.825,1.497,3.322,313.2,18.99,29.01
0.009,1.719,1.357,3.076,368.81,21.81,33.06
0.01,1.621,1.242,2.863,427.87,24.64,37.28
