Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.04,1.318,6.108,7.426,1.55,1.3,1.04
0.045,1.409,5.83,7.239,1.73,1.39,1.12
0.05,1.494,5.58,7.074,1.91,1.46,1.19
0.055,1.575,5.354,6.929,2.09,1.53,1.26
0.06,1.651,5.148,6.7989999999999995,2.27,1.6,1.32
0.065,1.724,4.961,6.6850000000000005,2.44,1.66,1.38
0.07,1.793,4.788,6.581,2.61,1.72,1.44
0.08,1.924,4.483,6.407,2.95,1.83,1.55
0.09,2.045,4.22,6.265,3.28,1.93,1.66
0.1,2.157,3.991,6.148,3.6,2.01,1.75
0.11,2.262,3.789,6.051,3.91,2.09,1.84
0.12,2.36,3.61,5.97,4.22,2.17,1.93
0.13,2.453,3.449,5.901999999999999,4.53,2.24,2.01
0.14,2.54,3.305,5.845000000000001,4.83,2.3,2.08
0.15,2.622,3.173,5.795,5.12,2.36,2.15
0.16,2.7,3.054,5.754,5.41,2.42,2.22
0.17,2.774,2.944,5.718,5.69,2.47,2.29
0.18,2.844,2.843,5.686999999999999,5.97,2.52,2.35
0.2,2.973,2.663,5.635999999999999,6.53,2.61,2.47
0.225,3.118,2.472,5.59,7.2,2.71,2.61
0.25,3.247,2.31,5.557,7.85,2.8,2.73
0.275,3.36,2.171,5.531,8.5,2.89,2.85
0.3,3.461,2.049,5.51,9.13,2.97,2.96
0.325,3.551,1.942,5.493,9.74,3.04,3.07
0.35,3.631,1.847,5.478,10.36,3.1,3.17
0.375,3.703,1.762,5.465,10.96,3.16,3.27
0.4,3.766,1.685,5.4510000000000005,11.55,3.22,3.36
0.45,3.872,1.553,5.425,12.73,3.33,3.53
0.5,3.956,1.441,5.397,13.89,3.43,3.69
0.55,4.02,1.347,5.366999999999999,15.04,3.52,3.84
0.6,4.069,1.265,5.334,16.18,3.6,3.99
0.65,4.106,1.194,5.3,17.32,3.68,4.13
0.7,4.131,1.131,5.2620000000000005,18.45,3.76,4.26
0.8,4.158,1.025,5.183,20.71,3.91,4.52
0.9,4.159,9.386,13.544999999999998,22.99,4.04,4.77
0.001,4.142,8.671,12.812999999999999,25.28,4.17,5.0
0.0011,4.114,8.067,12.181000000000001,27.59,4.29,5.23
0.0012,4.076,7.549,11.625,29.92,4.41,5.46
0.0013,4.032,7.099,11.131,32.29,4.52,5.68
0.0014,3.985,6.705,10.69,34.69,4.63,5.9
0.0015,3.934,6.356,10.29,37.13,4.74,6.12
0.0016,3.882,6.045,9.927,39.6,4.85,6.34
0.0017,3.83,5.765,9.594999999999999,42.11,4.96,6.55
0.0018,3.776,5.513,9.289,44.66,5.06,6.77
0.002,3.671,5.074,8.745,49.88,5.3,7.2
0.00225,3.544,4.622,8.166,56.63,5.61,7.74
0.0025,3.422,4.25,7.672000000000001,63.63,5.91,8.29
0.00275,3.308,3.937,7.244999999999999,70.89,6.22,8.85
0.003,3.202,3.671,6.872999999999999,78.41,6.53,9.42
0.00325,3.102,3.442,6.5440000000000005,86.18,6.85,10.0
0.0035,3.009,3.241,6.25,94.2,7.17,10.6
0.00375,2.922,3.064,5.986000000000001,102.48,7.49,11.2
0.004,2.84,2.907,5.747,111.0,7.82,11.81
0.0045,2.692,2.64,5.332000000000001,128.78,8.66,13.08
0.005,2.561,2.421,4.981999999999999,147.52,9.52,14.39
0.0055,2.445,2.238,4.683,167.2,10.38,15.76
0.006,2.34,2.082,4.422,187.8,11.26,17.17
0.0065,2.247,1.949,4.196,209.3,12.14,18.62
0.007,2.162,1.832,3.9939999999999998,231.69,13.04,20.12
0.008,2.013,1.639,3.652,279.02,15.6,23.26
0.009,1.909,1.484,3.393,329.41,18.1,26.55
0.01,1.806,1.358,3.164,382.66,20.56,29.98
