Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop
0.001,13.2,4.322,17.52
0.0015,16.72,4.763,21.48
0.002,19.77,5.048,24.82
0.0025,22.52,5.244,27.76
0.003,25.04,5.385,30.43
0.004,29.61,5.562,35.18
0.005,33.73,5.656,39.38
0.006,37.51,5.702,43.21
0.007,41.03,5.717,46.75
0.008,44.35,5.712,50.06
0.009,47.5,5.693,53.19
0.01,50.51,5.665,56.17
0.0125,57.52,5.57,63.09
0.015,63.96,5.458,69.42
0.0175,69.97,5.341,75.31
0.02,75.62,5.223,80.85
0.0225,80.99,5.108,86.1
0.025,86.11,4.996,91.1
0.0275,91.01,4.889,95.9
0.03,95.73,4.786,100.5
0.035,104.7,4.594,109.3
0.04,113.1,4.418,117.6
0.045,121.1,4.258,125.4
0.05,128.7,4.11,132.9
0.055,136.0,3.975,140.0
0.06,143.0,3.849,146.9
0.065,149.8,3.733,153.5
0.07,156.3,3.625,160.0
0.075,162.6,3.524,166.2
0.08,168.8,3.43,172.2
0.085,174.7,3.341,178.1
0.09,180.5,3.258,183.8
0.095,186.2,3.18,189.3
0.1,191.7,3.106,194.8
0.125,217.4,2.789,220.1
0.15,240.5,2.54,243.0
0.175,261.5,2.337,263.9
0.2,280.8,2.169,283.0
0.225,298.5,2.026,300.6
0.25,314.8,1.903,316.7
0.275,329.8,1.796,331.6
0.3,343.7,1.702,345.4
0.35,368.0,1.544,369.6
0.4,388.4,1.416,389.9
0.45,405.3,1.31,406.6
0.5,419.0,1.22,420.2
0.55,429.8,1.143,431.0
0.6,438.1,1.076,439.2
0.65,444.2,1.017,445.3
0.7,448.4,0.9655,449.3
0.75,450.8,0.9191,451.7
0.8,451.8,0.8775,452.7
0.85,451.6,0.8398,452.4
0.9,450.3,0.8056,451.1
0.95,448.2,0.7743,449.0
1.0,445.4,0.7456,446.1
1.25,420.0,0.6313,420.6
1.5,390.1,0.5498,390.7
1.75,362.9,0.4883,363.4
2.0,339.6,0.4402,340.0
2.25,319.8,0.4014,320.2
2.5,303.1,0.3694,303.5
2.75,288.9,0.3425,289.2
3.0,276.7,0.3196,277.0
3.5,256.9,0.2824,257.2
4.0,241.7,0.2535,242.0
4.5,229.4,0.2303,229.6
5.0,218.6,0.2113,218.8
5.5,209.1,0.1954,209.3
6.0,200.6,0.1819,200.8
6.5,193.0,0.1702,193.2
7.0,186.1,0.1601,186.2
7.5,179.8,0.1512,179.9
8.0,174.0,0.1433,174.1
8.5,168.6,0.1362,168.8
9.0,163.7,0.1298,163.8
9.5,159.1,0.1241,159.2
10.0,154.8,0.1188,155.0
12.5,137.1,0.09845,137.2
15.0,123.7,0.08434,123.8
17.5,113.1,0.07395,113.2
20.0,104.5,0.06597,104.5
25.0,91.22,0.05445,91.28
27.5,85.98,0.05015,86.03
30.0,81.42,0.04652,81.46
35.0,73.81,0.0407,73.86
40.0,67.71,0.03624,67.75
45.0,62.69,0.0327,62.72
50.0,58.48,0.02982,58.51
55.0,54.88,0.02744,54.9
60.0,51.76,0.02542,51.78
65.0,49.03,0.02369,49.05
70.0,46.62,0.0222,46.64
75.0,44.46,0.02089,44.49
80.0,42.53,0.01973,42.55
85.0,40.79,0.0187,40.81
90.0,39.21,0.01778,39.22
95.0,37.76,0.01695,37.78
100.0,36.43,0.0162,36.45
125.0,31.12,0.01328,31.13
150.0,27.3,0.01129,27.31
175.0,24.42,0.009836,24.43
200.0,22.18,0.008725,22.19
225.0,20.37,0.007847,20.38
250.0,18.89,0.007136,18.89
275.0,17.64,0.006548,17.65
300.0,16.59,0.006052,16.59
350.0,14.89,0.005263,14.9
400.0,13.58,0.00466,13.59
450.0,12.54,0.004185,12.55
500.0,11.69,0.0038,11.7
550.0,10.99,0.003482,10.99
600.0,10.39,0.003214,10.39
650.0,9.873,0.002986,9.876
700.0,9.428,0.002788,9.431
750.0,9.038,0.002616,9.041
800.0,8.694,0.002464,8.697
850.0,8.388,0.002329,8.391
900.0,8.115,0.002208,8.117
950.0,7.869,0.0021,7.871
1000.0,7.647,0.002001,7.649
