Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.025,6.809,5.035,11.844000000000001,1.14,1.39,1.05
0.0275,7.227,4.922,12.149000000000001,1.25,1.47,1.12
0.03,7.634,4.814,12.448,1.36,1.55,1.19
0.0325,8.033,4.711,12.744,1.47,1.63,1.25
0.035,8.424,4.612,13.036,1.58,1.7,1.31
0.0375,8.807,4.517,13.324000000000002,1.69,1.77,1.37
0.04,9.183,4.426,13.609,1.8,1.83,1.42
0.045,9.916,4.256,14.172,2.01,1.96,1.53
0.05,1.063,4.1,5.162999999999999,2.22,2.07,1.63
0.055,1.132,3.956,5.088,2.43,2.17,1.72
0.06,1.199,3.824,5.023,2.64,2.27,1.81
0.065,1.265,3.701,4.966,2.84,2.36,1.9
0.07,1.329,3.588,4.917,3.04,2.45,1.98
0.08,1.453,3.383,4.836,3.43,2.61,2.13
0.09,1.572,3.205,4.777,3.81,2.74,2.26
0.1,1.687,3.047,4.734,4.18,2.87,2.39
0.11,1.797,2.907,4.704,4.54,2.98,2.5
0.12,1.904,2.781,4.6850000000000005,4.89,3.08,2.61
0.13,2.007,2.667,4.6739999999999995,5.23,3.18,2.71
0.14,2.107,2.563,4.67,5.56,3.26,2.81
0.15,2.204,2.469,4.673,5.88,3.34,2.9
0.16,2.297,2.382,4.679,6.2,3.42,2.98
0.17,2.388,2.303,4.691,6.51,3.48,3.06
0.18,2.476,2.229,4.705,6.81,3.55,3.14
0.2,2.643,2.097,4.74,7.4,3.66,3.28
0.225,2.837,1.955,4.792,8.11,3.79,3.43
0.25,3.015,1.834,4.849,8.79,3.9,3.58
0.275,3.179,1.729,4.9079999999999995,9.44,4.0,3.71
0.3,3.328,1.637,4.965,10.08,4.09,3.83
0.325,3.464,1.555,5.019,10.7,4.17,3.94
0.35,3.587,1.482,5.069,11.3,4.24,4.05
0.375,3.698,1.417,5.115,11.89,4.31,4.14
0.4,3.798,1.358,5.156000000000001,12.47,4.37,4.24
0.45,3.966,1.255,5.221,13.6,4.49,4.41
0.5,4.096,1.169,5.265000000000001,14.7,4.59,4.57
0.55,4.193,1.095,5.287999999999999,15.79,4.68,4.72
0.6,4.261,1.03,5.291,16.86,4.76,4.86
0.65,4.306,9.742,14.048000000000002,17.93,4.84,4.99
0.7,4.33,9.244,13.574,19.0,4.91,5.12
0.8,4.331,8.402,12.733,21.14,5.05,5.36
0.9,4.288,7.715,12.003,23.31,5.18,5.6
0.001,4.218,7.143,11.361,25.53,5.31,5.83
0.0011,4.131,6.658,10.789000000000001,27.8,5.43,6.06
0.0012,4.036,6.24,10.276,30.13,5.54,6.28
0.0013,3.938,5.877,9.815,32.52,5.66,6.51
0.0014,3.841,5.558,9.399000000000001,34.98,5.77,6.74
0.0015,3.747,5.275,9.022,37.51,5.89,6.98
0.0016,3.656,5.022,8.678,40.1,6.01,7.21
0.0017,3.569,4.795,8.364,42.77,6.12,7.45
0.0018,3.487,4.589,8.076,45.5,6.24,7.7
0.002,3.336,4.231,7.567,51.16,6.51,8.2
0.00225,3.17,3.861,7.031000000000001,58.61,6.86,8.86
0.0025,3.027,3.555,6.582000000000001,66.44,7.23,9.54
0.00275,2.901,3.298,6.199,74.64,7.61,10.24
0.003,2.789,3.079,5.868,83.2,7.99,10.98
0.00325,2.69,2.889,5.579,92.09,8.39,11.74
0.0035,2.6,2.723,5.323,101.32,8.8,12.52
0.00375,2.519,2.577,5.096,110.85,9.22,13.33
0.004,2.445,2.447,4.8919999999999995,120.7,9.65,14.15
0.0045,2.313,2.225,4.538,141.27,10.72,15.87
0.005,2.2,2.043,4.243,162.98,11.82,17.67
0.0055,2.101,1.89,3.9909999999999997,185.77,12.93,19.53
0.006,2.013,1.76,3.7729999999999997,209.62,14.06,21.46
0.0065,1.935,1.648,3.583,234.49,15.21,23.46
0.007,1.864,1.551,3.415,260.35,16.37,25.52
0.008,1.741,1.389,3.13,314.92,19.51,29.81
0.009,1.645,1.26,2.9050000000000002,373.06,22.6,34.32
0.01,1.553,1.154,2.707,434.68,25.69,39.02
