Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.0014,1.035,1.046,2.081,14.3,1.0,1.32
0.0015,1.007,9.879,10.886,15.27,1.02,1.35
0.0016,9.787,9.367,19.154000000000003,16.27,1.04,1.39
0.0017,9.517,8.909,18.426000000000002,17.3,1.06,1.42
0.0018,9.258,8.497,17.755,18.36,1.08,1.45
0.002,8.771,7.784,16.555,20.56,1.15,1.52
0.00225,8.224,7.056,15.280000000000001,23.49,1.24,1.61
0.0025,7.74,6.46,14.2,26.61,1.35,1.7
0.00275,7.311,5.963,13.274000000000001,29.92,1.45,1.8
0.003,6.93,5.542,12.472,33.41,1.56,1.91
0.00325,6.59,5.18,11.77,37.1,1.67,2.02
0.0035,6.284,4.865,11.149000000000001,40.97,1.79,2.14
0.00375,6.009,4.588,10.597000000000001,45.02,1.91,2.27
0.004,5.759,4.343,10.102,49.25,2.04,2.4
0.0045,5.325,3.929,9.254,58.25,2.46,2.68
0.005,4.96,3.591,8.551,67.95,2.88,2.99
0.0055,4.648,3.309,7.957,78.33,3.29,3.31
0.006,4.378,3.071,7.449,89.38,3.71,3.66
0.0065,4.142,2.867,7.009,101.08,4.13,4.04
0.007,3.935,2.69,6.625,113.43,4.56,4.43
0.008,3.585,2.397,5.981999999999999,139.98,6.03,5.27
0.009,3.344,2.164,5.508,168.79,7.41,6.19
0.01,3.113,1.975,5.088,199.7,8.74,7.16
