Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop
0.001,20.75,6.388,27.14
0.0015,25.23,6.963,32.2
0.002,28.99,7.316,36.31
0.0025,32.29,7.547,39.83
0.003,35.26,7.701,42.96
0.004,40.51,7.872,48.38
0.005,45.11,7.936,53.05
0.006,49.26,7.942,57.2
0.007,53.06,7.912,60.97
0.008,56.59,7.861,64.45
0.009,59.9,7.796,67.69
0.01,63.02,7.722,70.74
0.0125,70.18,7.519,77.7
0.015,76.63,7.309,83.94
0.0175,82.54,7.103,89.64
0.02,88.02,6.905,94.93
0.0225,93.16,6.717,99.88
0.025,98.01,6.54,104.5
0.0275,102.6,6.372,109.0
0.03,107.0,6.214,113.2
0.035,115.2,5.923,121.2
0.04,122.9,5.663,128.5
0.045,130.0,5.429,135.4
0.05,136.7,5.217,142.0
0.055,143.1,5.024,148.1
0.06,149.2,4.847,154.1
0.065,155.0,4.685,159.7
0.07,160.6,4.535,165.1
0.075,165.9,4.396,170.3
0.08,171.1,4.266,175.4
0.085,176.1,4.146,180.2
0.09,180.9,4.033,185.0
0.095,185.6,3.928,189.5
0.1,190.1,3.828,194.0
0.125,211.1,3.408,214.5
0.15,229.6,3.082,232.7
0.175,246.2,2.821,249.1
0.2,261.3,2.605,263.9
0.225,275.1,2.425,277.5
0.25,287.7,2.27,290.0
0.275,299.3,2.136,301.5
0.3,310.0,2.019,312.0
0.35,328.8,1.824,330.7
0.4,344.7,1.667,346.4
0.45,358.1,1.537,359.6
0.5,369.2,1.428,370.6
0.55,378.3,1.335,379.6
0.6,385.6,1.255,386.8
0.65,391.3,1.184,392.5
0.7,395.6,1.122,396.7
0.75,398.7,1.067,399.7
0.8,400.6,1.017,401.7
0.85,401.7,0.9726,402.7
0.9,401.9,0.932,402.8
0.95,401.4,0.895,402.3
1.0,400.4,0.8611,401.2
1.25,389.5,0.7265,390.2
1.5,374.8,0.631,375.4
1.75,359.5,0.5593,360.1
2.0,344.8,0.5034,345.3
2.25,331.0,0.4584,331.5
2.5,318.3,0.4213,318.7
2.75,306.5,0.3902,306.9
3.0,295.7,0.3638,296.1
3.5,276.7,0.3209,277.0
4.0,260.8,0.2877,261.1
4.5,247.3,0.2612,247.6
5.0,235.5,0.2394,235.8
5.5,225.2,0.2212,225.5
6.0,216.1,0.2058,216.3
6.5,207.8,0.1925,208.0
7.0,200.3,0.1809,200.5
7.5,193.5,0.1707,193.7
8.0,187.3,0.1617,187.4
8.5,181.5,0.1537,181.7
9.0,176.2,0.1464,176.4
9.5,171.3,0.1399,171.4
10.0,166.7,0.134,166.8
12.5,147.6,0.1108,147.7
15.0,133.2,0.09485,133.3
17.5,121.8,0.0831,121.9
20.0,112.6,0.07407,112.6
25.0,98.27,0.06107,98.33
27.5,92.62,0.05622,92.67
30.0,87.69,0.05213,87.74
35.0,79.46,0.04558,79.5
40.0,72.85,0.04055,72.89
45.0,67.4,0.03658,67.44
50.0,62.83,0.03334,62.86
55.0,58.92,0.03066,58.95
60.0,55.54,0.0284,55.57
65.0,52.58,0.02646,52.61
70.0,49.96,0.02478,49.99
75.0,47.63,0.02331,47.66
80.0,45.54,0.02202,45.57
85.0,43.65,0.02086,43.68
90.0,41.94,0.01983,41.96
95.0,40.38,0.0189,40.39
100.0,38.94,0.01805,38.96
125.0,33.28,0.0148,33.3
150.0,29.27,0.01257,29.28
175.0,26.26,0.01094,26.27
200.0,23.9,0.009697,23.91
225.0,21.99,0.008718,22.0
250.0,20.42,0.007925,20.43
275.0,19.1,0.007268,19.11
300.0,17.98,0.006715,17.98
350.0,16.15,0.005833,16.15
400.0,14.73,0.005162,14.73
450.0,13.59,0.004633,13.59
500.0,12.66,0.004204,12.66
550.0,11.89,0.00385,11.89
600.0,11.23,0.003553,11.24
650.0,10.67,0.003298,10.68
700.0,10.19,0.003079,10.19
750.0,9.763,0.002887,9.765
800.0,9.388,0.002717,9.391
850.0,9.055,0.002567,9.058
900.0,8.758,0.002433,8.76
950.0,8.49,0.002313,8.492
1000.0,8.248,0.002204,8.25
