Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.035,1.1,5.921,7.021000000000001,1.42,1.3,1.02
0.0375,1.143,5.779,6.922,1.52,1.35,1.07
0.04,1.185,5.645,6.83,1.61,1.4,1.11
0.045,1.265,5.398,6.662999999999999,1.81,1.5,1.2
0.05,1.34,5.174,6.514,2.0,1.58,1.28
0.055,1.413,4.971,6.384,2.19,1.67,1.36
0.06,1.482,4.786,6.268,2.38,1.74,1.43
0.065,1.549,4.617,6.166,2.56,1.82,1.5
0.07,1.613,4.461,6.074,2.74,1.88,1.57
0.08,1.734,4.183,5.917,3.1,2.01,1.69
0.09,1.847,3.944,5.791,3.45,2.12,1.81
0.1,1.953,3.734,5.687,3.8,2.22,1.92
0.11,2.053,3.549,5.602,4.14,2.32,2.02
0.12,2.147,3.385,5.532,4.47,2.4,2.11
0.13,2.236,3.237,5.473000000000001,4.79,2.48,2.2
0.14,2.32,3.104,5.4239999999999995,5.11,2.56,2.29
0.15,2.4,2.982,5.382,5.42,2.62,2.37
0.16,2.476,2.872,5.348,5.73,2.69,2.45
0.17,2.548,2.77,5.318,6.03,2.75,2.52
0.18,2.617,2.677,5.2940000000000005,6.33,2.81,2.59
0.2,2.745,2.51,5.255,6.92,2.91,2.73
0.225,2.888,2.332,5.22,7.63,3.03,2.88
0.25,3.016,2.181,5.197,8.33,3.14,3.02
0.275,3.129,2.051,5.18,9.01,3.23,3.15
0.3,3.231,1.938,5.169,9.67,3.32,3.28
0.325,3.322,1.837,5.159,10.32,3.4,3.39
0.35,3.403,1.748,5.151,10.97,3.47,3.5
0.375,3.476,1.669,5.145,11.6,3.54,3.61
0.4,3.54,1.597,5.1370000000000005,12.23,3.61,3.71
0.45,3.649,1.472,5.121,13.47,3.73,3.9
0.5,3.736,1.368,5.104,14.69,3.84,4.08
0.55,3.803,1.278,5.0809999999999995,15.89,3.94,4.25
0.6,3.855,1.201,5.056,17.09,4.04,4.41
0.65,3.893,1.134,5.026999999999999,18.28,4.13,4.56
0.7,3.921,1.075,4.9959999999999996,19.47,4.21,4.71
0.8,3.951,9.747,13.698,21.84,4.37,4.99
0.9,3.956,8.933,12.889,24.22,4.52,5.25
0.001,3.942,8.257,12.199,26.61,4.66,5.51
0.0011,3.916,7.685,11.600999999999999,29.03,4.8,5.76
0.0012,3.881,7.194,11.075,31.47,4.92,6.01
0.0013,3.84,6.768,10.608,33.95,5.05,6.25
0.0014,3.794,6.394,10.188,36.47,5.17,6.49
0.0015,3.746,6.063,9.809,39.02,5.29,6.73
0.0016,3.696,5.767,9.463000000000001,41.61,5.41,6.96
0.0017,3.645,5.502,9.147,44.24,5.53,7.2
0.0018,3.594,5.262,8.856,46.91,5.64,7.43
0.002,3.493,4.845,8.338,52.37,5.9,7.91
0.00225,3.37,4.415,7.785,59.45,6.23,8.5
0.0025,3.254,4.061,7.3149999999999995,66.8,6.56,9.1
0.00275,3.144,3.764,6.9079999999999995,74.42,6.89,9.72
0.003,3.042,3.51,6.552,82.32,7.23,10.34
0.00325,2.947,3.291,6.2379999999999995,90.48,7.57,10.98
0.0035,2.858,3.1,5.958,98.91,7.92,11.63
0.00375,2.775,2.932,5.707,107.61,8.27,12.29
0.004,2.698,2.782,5.48,116.56,8.62,12.97
0.0045,2.557,2.527,5.084,135.25,9.52,14.36
0.005,2.434,2.318,4.752000000000001,154.94,10.44,15.8
0.0055,2.324,2.143,4.467,175.62,11.36,17.3
0.006,2.226,1.995,4.221,197.26,12.3,18.85
0.0065,2.137,1.867,4.004,219.83,13.26,20.45
0.007,2.058,1.755,3.8129999999999997,243.32,14.23,22.1
0.008,1.919,1.571,3.49,292.96,16.93,25.55
0.009,1.82,1.423,3.2430000000000003,345.76,19.58,29.16
0.01,1.724,1.303,3.027,401.5,22.19,32.91
