Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop
0.001,18.11,10.29,28.4
0.0015,23.3,11.02,34.32
0.002,27.86,11.43,39.28
0.0025,31.99,11.66,43.65
0.003,35.83,11.78,47.61
0.004,42.84,11.85,54.69
0.005,49.2,11.79,60.99
0.006,55.1,11.67,66.77
0.007,60.63,11.52,72.15
0.008,65.87,11.35,77.22
0.009,70.87,11.17,82.04
0.01,75.65,10.99,86.64
0.0125,86.89,10.55,97.44
0.015,97.3,10.14,107.4
0.0175,107.1,9.754,116.8
0.02,116.3,9.401,125.7
0.0225,125.1,9.076,134.2
0.025,133.5,8.777,142.3
0.0275,141.7,8.5,150.2
0.03,149.5,8.243,157.7
0.035,164.4,7.781,172.2
0.04,178.6,7.378,186.0
0.045,192.0,7.021,199.1
0.05,204.9,6.703,211.6
0.055,217.3,6.417,223.7
0.06,229.2,6.159,235.3
0.065,240.7,5.925,246.6
0.07,251.8,5.71,257.5
0.075,262.6,5.513,268.2
0.08,273.1,5.331,278.5
0.085,283.4,5.163,288.5
0.09,293.3,5.007,298.3
0.095,303.0,4.861,307.9
0.1,312.5,4.725,317.2
0.125,356.7,4.158,360.9
0.15,396.5,3.727,400.2
0.175,432.5,3.386,435.9
0.2,465.2,3.109,468.3
0.225,494.9,2.879,497.8
0.25,521.8,2.684,524.5
0.275,546.1,2.517,548.6
0.3,567.9,2.372,570.3
0.35,604.7,2.13,606.8
0.4,633.2,1.938,635.2
0.45,654.5,1.781,656.3
0.5,669.3,1.649,671.0
0.55,678.8,1.538,680.3
0.6,683.6,1.442,685.0
0.65,684.6,1.358,685.9
0.7,682.5,1.284,683.8
0.75,678.0,1.219,679.3
0.8,671.7,1.161,672.8
0.85,663.9,1.108,665.0
0.9,655.1,1.061,656.1
0.95,645.6,1.017,646.6
1.0,635.6,0.9776,636.6
1.25,584.6,0.8212,585.4
1.5,538.7,0.7109,539.4
1.75,500.4,0.6285,501.0
2.0,468.8,0.5644,469.4
2.25,446.7,0.5131,447.2
2.5,430.5,0.4709,430.9
2.75,417.1,0.4356,417.5
3.0,405.3,0.4056,405.7
3.5,383.9,0.3571,384.3
4.0,364.0,0.3197,364.3
4.5,344.9,0.2898,345.2
5.0,326.8,0.2653,327.0
5.5,309.7,0.2449,310.0
6.0,294.6,0.2276,294.8
6.5,281.3,0.2128,281.5
7.0,269.5,0.1998,269.7
7.5,258.7,0.1885,258.9
8.0,248.8,0.1784,248.9
8.5,239.6,0.1695,239.8
9.0,231.1,0.1614,231.3
9.5,223.2,0.1541,223.4
10.0,216.2,0.1475,216.4
12.5,187.8,0.1218,187.9
15.0,167.2,0.1041,167.3
17.5,151.2,0.0911,151.3
20.0,138.5,0.08113,138.6
25.0,119.3,0.0668,119.3
27.5,111.9,0.06146,111.9
30.0,105.4,0.05695,105.5
35.0,94.74,0.04974,94.79
40.0,86.29,0.04422,86.34
45.0,79.43,0.03986,79.47
50.0,73.7,0.03631,73.74
55.0,68.86,0.03337,68.89
60.0,64.69,0.03089,64.72
65.0,61.07,0.02877,61.1
70.0,57.88,0.02693,57.91
75.0,55.06,0.02533,55.08
80.0,52.53,0.02391,52.55
85.0,50.25,0.02265,50.28
90.0,48.2,0.02152,48.22
95.0,46.32,0.0205,46.34
100.0,44.61,0.01958,44.63
125.0,37.85,0.01602,37.86
150.0,33.08,0.01359,33.09
175.0,29.51,0.01182,29.53
200.0,26.75,0.01047,26.76
225.0,24.53,0.009406,24.54
250.0,22.71,0.008542,22.72
275.0,21.19,0.007828,21.2
300.0,19.9,0.007228,19.91
350.0,17.82,0.006272,17.83
400.0,16.22,0.005544,16.23
450.0,14.95,0.004971,14.95
500.0,13.91,0.004507,13.91
550.0,13.05,0.004123,13.05
600.0,12.32,0.0038,12.32
650.0,11.7,0.003525,11.7
700.0,11.16,0.003288,11.16
750.0,10.69,0.003082,10.69
800.0,10.27,0.0029,10.27
850.0,9.901,0.002739,9.904
900.0,9.572,0.002595,9.575
950.0,9.276,0.002465,9.278
1000.0,9.008,0.002348,9.011
