Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.045,1.6,6.92,8.52,1.72,1.29,1.05
0.05,1.725,6.59,8.315,1.89,1.36,1.12
0.055,1.845,6.294,8.139,2.05,1.41,1.17
0.06,1.964,6.029,7.993,2.21,1.46,1.23
0.065,2.079,5.788,7.867000000000001,2.37,1.51,1.27
0.07,2.192,5.569,7.761,2.52,1.56,1.32
0.08,2.411,5.185,7.596,2.81,1.63,1.41
0.09,2.622,4.858,7.4799999999999995,3.09,1.7,1.48
0.1,2.826,4.575,7.401,3.36,1.76,1.55
0.11,3.023,4.328,7.351000000000001,3.61,1.81,1.61
0.12,3.213,4.111,7.324,3.86,1.85,1.66
0.13,3.398,3.917,7.3149999999999995,4.1,1.89,1.72
0.14,3.576,3.743,7.319,4.32,1.93,1.76
0.15,3.748,3.586,7.334,4.54,1.96,1.81
0.16,3.915,3.444,7.359,4.76,1.99,1.85
0.17,4.077,3.314,7.391,4.97,2.02,1.88
0.18,4.232,3.195,7.427,5.17,2.04,1.92
0.2,4.528,2.984,7.512,5.56,2.09,1.98
0.225,4.867,2.761,7.628,6.02,2.14,2.06
0.25,5.174,2.572,7.746,6.46,2.18,2.12
0.275,5.45,2.411,7.861000000000001,6.88,2.21,2.18
0.3,5.694,2.271,7.965,7.28,2.25,2.23
0.325,5.91,2.148,8.058,7.67,2.27,2.28
0.35,6.097,2.04,8.137,8.06,2.3,2.32
0.375,6.257,1.943,8.2,8.43,2.32,2.36
0.4,6.393,1.856,8.249,8.8,2.34,2.4
0.45,6.597,1.705,8.302,9.52,2.38,2.47
0.5,6.726,1.58,8.306000000000001,10.22,2.42,2.54
0.55,6.793,1.473,8.266,10.92,2.45,2.6
0.6,6.814,1.381,8.195,11.62,2.48,2.66
0.65,6.799,1.302,8.101,12.33,2.51,2.72
0.7,6.759,1.231,7.99,13.03,2.54,2.77
0.8,6.631,1.113,7.744,14.47,2.59,2.88
0.9,6.472,1.018,7.49,15.95,2.64,2.98
0.001,6.305,9.389,15.693999999999999,17.47,2.69,3.08
0.0011,6.139,8.723,14.862000000000002,19.03,2.74,3.18
0.0012,5.981,8.152,14.133,20.64,2.79,3.29
0.0013,5.832,7.659,13.491,22.3,2.84,3.39
0.0014,5.692,7.226,12.918,24.0,2.89,3.49
0.0015,5.56,6.844,12.404,25.74,2.94,3.6
0.0016,5.437,6.503,11.940000000000001,27.52,2.99,3.71
0.0017,5.32,6.198,11.518,29.34,3.04,3.82
0.0018,5.211,5.923,11.134,31.21,3.09,3.93
0.002,5.008,5.444,10.452,35.06,3.22,4.15
0.00225,4.78,4.953,9.733,40.09,3.4,4.45
0.0025,4.576,4.549,9.125,45.36,3.58,4.75
0.00275,4.392,4.21,8.602,50.86,3.77,5.07
0.003,4.224,3.922,8.146,56.59,3.96,5.39
0.00325,4.07,3.674,7.744,62.54,4.16,5.73
0.0035,3.928,3.457,7.385,68.72,4.37,6.08
0.00375,3.797,3.267,7.064,75.12,4.57,6.44
0.004,3.675,3.098,6.773,81.74,4.79,6.81
0.0045,3.457,2.81,6.2669999999999995,95.62,5.41,7.59
0.005,3.265,2.575,5.84,110.36,6.03,8.4
0.0055,3.096,2.378,5.474,125.93,6.67,9.26
0.006,2.946,2.211,5.157,142.34,7.31,10.16
0.0065,2.811,2.068,4.879,159.57,7.97,11.1
0.007,2.689,1.943,4.632,177.6,8.64,12.07
0.008,2.478,1.736,4.214,216.03,10.71,14.13
0.009,2.302,1.571,3.873,257.58,12.73,16.34
0.01,2.143,1.437,3.58,302.27,14.75,18.7
