Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.12,4.425,5.367,9.792,2.99,1.06,1.02
0.13,4.617,5.098,9.715,3.17,1.08,1.06
0.14,4.799,4.858,9.657,3.36,1.1,1.09
0.15,4.973,4.642,9.615,3.53,1.12,1.12
0.16,5.139,4.447,9.586,3.71,1.14,1.15
0.17,5.297,4.27,9.567,3.87,1.16,1.17
0.18,5.448,4.108,9.556000000000001,4.04,1.17,1.2
0.2,5.73,3.823,9.553,4.36,1.2,1.24
0.225,6.047,3.524,9.571,4.75,1.23,1.29
0.25,6.33,3.273,9.603,5.12,1.26,1.34
0.275,6.582,3.059,9.641,5.47,1.29,1.38
0.3,6.806,2.874,9.68,5.82,1.31,1.42
0.325,7.006,2.713,9.719000000000001,6.16,1.33,1.46
0.35,7.183,2.571,9.754,6.49,1.35,1.49
0.375,7.339,2.444,9.783000000000001,6.82,1.36,1.52
0.4,7.477,2.331,9.808,7.14,1.38,1.55
0.45,7.702,2.136,9.838000000000001,7.77,1.41,1.6
0.5,7.87,1.974,9.844,8.38,1.43,1.66
0.55,7.991,1.837,9.828,8.99,1.46,1.7
0.6,8.072,1.719,9.790999999999999,9.59,1.48,1.75
0.65,8.121,1.617,9.738,10.19,1.5,1.79
0.7,8.142,1.528,9.67,10.79,1.52,1.83
0.8,8.122,1.378,9.5,11.99,1.56,1.91
0.9,8.04,1.257,9.296999999999999,13.19,1.6,1.98
0.001,7.918,1.157,9.075,14.42,1.64,2.05
0.0011,7.769,1.073,8.842,15.67,1.67,2.12
0.0012,7.604,1.002,8.606,16.95,1.71,2.19
0.0013,7.43,9.398,16.828,18.26,1.75,2.26
0.0014,7.253,8.857,16.11,19.6,1.78,2.33
0.0015,7.075,8.38,15.455000000000002,20.98,1.82,2.4
0.0016,6.899,7.956,14.855,22.39,1.85,2.47
0.0017,6.728,7.576,14.303999999999998,23.84,1.89,2.54
0.0018,6.561,7.233,13.794,25.33,1.93,2.61
0.002,6.244,6.64,12.884,28.41,2.03,2.76
0.00225,5.882,6.031,11.913,32.5,2.17,2.96
0.0025,5.557,5.532,11.089,36.83,2.32,3.16
0.00275,5.267,5.114,10.381,41.4,2.48,3.38
0.003,5.009,4.759,9.768,46.23,2.64,3.6
0.00325,4.777,4.454,9.231,51.3,2.81,3.84
0.0035,4.57,4.188,8.758,56.6,2.98,4.09
0.00375,4.384,3.954,8.338000000000001,62.14,3.16,4.34
0.004,4.216,3.747,7.963,67.92,3.34,4.61
0.0045,3.927,3.395,7.322,80.12,3.91,5.18
0.005,3.687,3.107,6.7940000000000005,93.17,4.48,5.79
0.0055,3.485,2.867,6.352,107.02,5.05,6.43
0.006,3.314,2.664,5.978,121.64,5.63,7.11
0.0065,3.167,2.489,5.656,136.97,6.2,7.82
0.007,3.04,2.337,5.377000000000001,152.99,6.78,8.56
0.008,2.829,2.086,4.915,186.89,8.62,10.1
0.009,2.649,1.887,4.536,223.22,10.36,11.74
0.01,2.48,1.724,4.204,262.03,12.06,13.47
