Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.04,1.323,5.932,7.255000000000001,1.55,1.29,1.03
0.045,1.414,5.664,7.077999999999999,1.73,1.38,1.11
0.05,1.501,5.423,6.9239999999999995,1.92,1.45,1.18
0.055,1.583,5.204,6.787,2.09,1.52,1.25
0.06,1.662,5.006,6.668,2.27,1.59,1.32
0.065,1.738,4.824,6.561999999999999,2.44,1.65,1.38
0.07,1.811,4.658,6.469,2.61,1.71,1.44
0.08,1.95,4.362,6.312,2.94,1.82,1.55
0.09,2.081,4.108,6.189,3.27,1.91,1.65
0.1,2.204,3.885,6.089,3.59,2.0,1.74
0.11,2.32,3.69,6.01,3.89,2.08,1.83
0.12,2.431,3.516,5.947,4.2,2.15,1.91
0.13,2.536,3.36,5.896,4.49,2.22,1.99
0.14,2.636,3.22,5.856,4.78,2.28,2.06
0.15,2.732,3.092,5.824,5.06,2.33,2.13
0.16,2.824,2.976,5.8,5.34,2.39,2.19
0.17,2.911,2.869,5.78,5.62,2.44,2.25
0.18,2.995,2.771,5.766,5.88,2.48,2.31
0.2,3.152,2.597,5.7490000000000006,6.41,2.57,2.42
0.225,3.33,2.411,5.741,7.04,2.66,2.55
0.25,3.49,2.253,5.743,7.66,2.75,2.67
0.275,3.634,2.118,5.752,8.26,2.82,2.78
0.3,3.763,1.999,5.7620000000000005,8.84,2.89,2.88
0.325,3.878,1.895,5.773,9.41,2.95,2.97
0.35,3.98,1.803,5.7829999999999995,9.97,3.01,3.06
0.375,4.071,1.72,5.7909999999999995,10.53,3.06,3.14
0.4,4.152,1.645,5.797000000000001,11.07,3.11,3.22
0.45,4.284,1.516,5.8,12.14,3.21,3.37
0.5,4.382,1.407,5.789,13.2,3.29,3.51
0.55,4.452,1.315,5.7669999999999995,14.24,3.37,3.64
0.6,4.499,1.235,5.734,15.27,3.44,3.77
0.65,4.525,1.166,5.691000000000001,16.31,3.5,3.88
0.7,4.536,1.104,5.64,17.34,3.57,4.0
0.8,4.519,1.001,5.52,19.42,3.69,4.22
0.9,4.467,9.169,13.636,21.53,3.81,4.44
0.001,4.395,8.471,12.866,23.69,3.92,4.65
0.0011,4.31,7.882,12.192,25.88,4.03,4.85
0.0012,4.221,7.376,11.597000000000001,28.13,4.14,5.06
0.0013,4.129,6.938,11.067,30.44,4.24,5.27
0.0014,4.039,6.553,10.591999999999999,32.8,4.35,5.47
0.0015,3.952,6.212,10.164,35.22,4.45,5.68
0.0016,3.868,5.908,9.776,37.7,4.56,5.89
0.0017,3.788,5.635,9.423,40.23,4.66,6.11
0.0018,3.712,5.389,9.101,42.82,4.77,6.32
0.002,3.573,4.96,8.533,48.16,5.01,6.76
0.00225,3.418,4.519,7.937,55.13,5.33,7.32
0.0025,3.284,4.155,7.439,62.41,5.65,7.9
0.00275,3.165,3.85,7.015000000000001,70.0,5.99,8.49
0.003,3.059,3.59,6.649,77.86,6.32,9.1
0.00325,2.963,3.365,6.328,85.99,6.66,9.72
0.0035,2.876,3.169,6.045,94.39,7.01,10.36
0.00375,2.797,2.997,5.7940000000000005,103.04,7.36,11.01
0.004,2.724,2.843,5.567,111.93,7.71,11.67
0.0045,2.594,2.582,5.176,130.42,8.63,13.03
0.005,2.481,2.368,4.849,149.8,9.54,14.43
0.0055,2.381,2.189,4.57,170.06,10.45,15.88
0.006,2.291,2.037,4.327999999999999,191.15,11.37,17.36
0.0065,2.21,1.906,4.116,213.06,12.29,18.88
0.007,2.137,1.792,3.9290000000000003,235.75,13.22,20.44
0.008,2.008,1.603,3.6109999999999998,283.4,15.8,23.66
0.009,1.896,1.452,3.348,334.02,18.32,27.01
0.01,1.788,1.329,3.117,387.7,20.82,30.51
