Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.1,3.478,7.311,10.789,2.86,1.06,1.02
0.11,3.65,6.869,10.519,3.09,1.09,1.07
0.12,3.811,6.484,10.295,3.31,1.12,1.11
0.13,3.963,6.145,10.108,3.53,1.15,1.15
0.14,4.106,5.844,9.95,3.74,1.18,1.19
0.15,4.24,5.574,9.814,3.95,1.2,1.22
0.16,4.367,5.331,9.698,4.15,1.22,1.26
0.17,4.487,5.111,9.597999999999999,4.35,1.24,1.29
0.18,4.6,4.911,9.511,4.55,1.26,1.32
0.2,4.806,4.559,9.365,4.93,1.3,1.37
0.225,5.033,4.191,9.224,5.39,1.33,1.43
0.25,5.23,3.884,9.114,5.83,1.37,1.49
0.275,5.4,3.623,9.023,6.27,1.4,1.54
0.3,5.55,3.398,8.948,6.69,1.42,1.59
0.325,5.681,3.203,8.884,7.11,1.45,1.64
0.35,5.797,3.031,8.828,7.52,1.47,1.68
0.375,5.9,2.878,8.778,7.92,1.49,1.72
0.4,5.992,2.741,8.733,8.32,1.51,1.76
0.45,6.15,2.507,8.657,9.1,1.55,1.83
0.5,6.279,2.313,8.592,9.87,1.59,1.9
0.55,6.386,2.149,8.535,10.63,1.62,1.96
0.6,6.475,2.009,8.484,11.38,1.65,2.02
0.65,6.548,1.888,8.436,12.13,1.68,2.07
0.7,6.608,1.781,8.389,12.86,1.7,2.12
0.8,6.694,1.604,8.298,14.33,1.76,2.22
0.9,6.744,1.461,8.205,15.78,1.8,2.32
0.001,6.764,1.343,8.107,17.23,1.85,2.41
0.0011,6.762,1.244,8.006,18.68,1.89,2.49
0.0012,6.741,1.16,7.901,20.13,1.94,2.57
0.0013,6.706,1.087,7.793,21.59,1.98,2.65
0.0014,6.66,1.024,7.684,23.07,2.01,2.73
0.0015,6.604,9.682,16.286,24.55,2.05,2.8
0.0016,6.542,9.185,15.727,26.05,2.09,2.88
0.0017,6.474,8.741,15.215,27.57,2.13,2.95
0.0018,6.402,8.341,14.742999999999999,29.1,2.16,3.02
0.002,6.251,7.649,13.9,32.23,2.26,3.17
0.00225,6.054,6.94,12.994,36.25,2.39,3.35
0.0025,5.856,6.36,12.216000000000001,40.41,2.52,3.53
0.00275,5.662,5.875,11.536999999999999,44.71,2.65,3.71
0.003,5.474,5.463,10.937000000000001,49.17,2.78,3.9
0.00325,5.294,5.109,10.402999999999999,53.77,2.91,4.09
0.0035,5.122,4.801,9.923,58.54,3.04,4.28
0.00375,4.959,4.531,9.489999999999998,63.47,3.18,4.48
0.004,4.805,4.291,9.096,68.55,3.32,4.68
0.0045,4.52,3.884,8.404,79.22,3.76,5.1
0.005,4.265,3.553,7.818,90.54,4.2,5.54
0.0055,4.036,3.276,7.311999999999999,102.53,4.64,6.0
0.006,3.829,3.042,6.871,115.18,5.09,6.49
0.0065,3.643,2.841,6.484,128.5,5.55,6.99
0.007,3.474,2.667,6.141,142.48,6.02,7.52
0.008,3.18,2.378,5.558,172.43,7.59,8.66
0.009,2.974,2.149,5.123,204.81,9.09,9.87
0.01,2.779,1.962,4.741,239.46,10.56,11.17
