Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.12,4.534,5.309,9.843,2.93,1.05,1.01
0.13,4.731,5.044,9.774999999999999,3.12,1.07,1.04
0.14,4.918,4.807,9.725000000000001,3.29,1.09,1.07
0.15,5.096,4.595,9.690999999999999,3.47,1.11,1.1
0.16,5.265,4.402,9.667,3.64,1.13,1.13
0.17,5.428,4.228,9.655999999999999,3.8,1.15,1.15
0.18,5.582,4.068,9.649999999999999,3.96,1.16,1.18
0.2,5.872,3.787,9.658999999999999,4.28,1.19,1.22
0.225,6.2,3.491,9.691,4.65,1.22,1.27
0.25,6.494,3.243,9.737,5.01,1.25,1.32
0.275,6.757,3.032,9.789,5.36,1.27,1.36
0.3,6.993,2.85,9.843,5.7,1.29,1.39
0.325,7.204,2.69,9.894,6.03,1.31,1.43
0.35,7.391,2.549,9.94,6.35,1.33,1.46
0.375,7.558,2.424,9.982,6.67,1.34,1.49
0.4,7.706,2.312,10.018,6.98,1.36,1.52
0.45,7.949,2.119,10.068,7.59,1.39,1.57
0.5,8.134,1.958,10.092,8.19,1.41,1.62
0.55,8.267,1.823,10.09,8.78,1.44,1.67
0.6,8.358,1.706,10.064,9.36,1.46,1.71
0.65,8.414,1.605,10.019,9.93,1.48,1.75
0.7,8.439,1.517,9.956,10.51,1.5,1.79
0.8,8.418,1.368,9.786,11.67,1.53,1.86
0.9,8.327,1.248,9.575,12.83,1.57,1.93
0.001,8.188,1.149,9.337,14.02,1.61,2.0
0.0011,8.019,1.066,9.085,15.23,1.64,2.07
0.0012,7.831,9.952,17.783,16.47,1.68,2.13
0.0013,7.632,9.338,16.97,17.74,1.71,2.2
0.0014,7.429,8.801,16.23,19.05,1.74,2.27
0.0015,7.227,8.328,15.555,20.4,1.78,2.34
0.0016,7.027,7.907,14.934000000000001,21.78,1.81,2.4
0.0017,6.832,7.529,14.361,23.21,1.85,2.47
0.0018,6.644,7.189,13.833,24.67,1.89,2.54
0.002,6.289,6.6,12.889,27.73,1.98,2.69
0.00225,5.889,5.996,11.885000000000002,31.8,2.13,2.88
0.0025,5.535,5.5,11.035,36.13,2.28,3.09
0.00275,5.223,5.085,10.308,40.74,2.44,3.31
0.003,4.949,4.733,9.681999999999999,45.61,2.61,3.54
0.00325,4.707,4.429,9.136,50.75,2.78,3.78
0.0035,4.494,4.165,8.658999999999999,56.14,2.96,4.03
0.00375,4.304,3.933,8.237,61.78,3.14,4.3
0.004,4.134,3.726,7.86,67.66,3.34,4.58
0.0045,3.846,3.377,7.223,80.11,3.93,5.17
0.005,3.61,3.091,6.7010000000000005,93.43,4.52,5.81
0.0055,3.415,2.852,6.2669999999999995,107.58,5.11,6.48
0.006,3.249,2.65,5.899,122.49,5.7,7.19
0.0065,3.107,2.477,5.584,138.12,6.3,7.93
0.007,2.984,2.326,5.3100000000000005,154.44,6.89,8.7
0.008,2.78,2.076,4.856,188.96,8.78,10.31
0.009,2.605,1.877,4.482,225.91,10.56,12.01
0.01,2.439,1.715,4.154,265.37,12.29,13.81
